run_idx,stage,metric,alpha,rho,eta,T,D_theta,D_pi,per_run_metric_1
60,grid,-6.056561716999999,0.0001,0.1,0.0001,10000,20.0,20.0,-6.056561716999999
61,grid,-4.305994710999999,0.0001,1.0,0.0001,10000,0.1,0.1,-4.305994710999999
62,grid,-5.469432316,0.0001,1.0,0.0001,10000,0.5,0.5,-5.469432316
63,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,1.0,1.0,-6.056561716999999
64,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,5.0,5.0,-6.056561716999999
65,grid,-6.056561716999999,0.0001,1.0,0.0001,10000,20.0,20.0,-6.056561716999999
66,grid,-4.305994710999999,0.0001,10.0,0.0001,10000,0.1,0.1,-4.305994710999999
67,grid,-5.469432316,0.0001,10.0,0.0001,10000,0.5,0.5,-5.469432316
68,grid,-6.056561716999999,0.0001,10.0,0.0001,10000,1.0,1.0,-6.056561716999999
69,grid,-6.255561716999999,0.0001,10.0,0.0001,10000,5.0,5.0,-6.255561716999999
70,grid,-6.255561716999999,0.0001,10.0,0.0001,10000,20.0,20.0,-6.255561716999999
71,grid,-3.911954811,0.0001,100.0,0.0001,10000,0.1,0.1,-3.911954811
72,grid,-4.696094212,0.0001,100.0,0.0001,10000,0.5,0.5,-4.696094212
73,grid,-4.985243313999999,0.0001,100.0,0.0001,10000,1.0,1.0,-4.985243313999999
74,grid,-6.251601617,0.0001,100.0,0.0001,10000,5.0,5.0,-6.251601617
75,grid,-6.450601616999999,0.0001,100.0,0.0001,10000,20.0,20.0,-6.450601616999999
76,grid,-4.305994710999999,0.0001,0.01,0.001,10000,0.1,0.1,-4.305994710999999
77,grid,-5.469432316,0.0001,0.01,0.001,10000,0.5,0.5,-5.469432316
78,grid,-6.056561716999999,0.0001,0.01,0.001,10000,1.0,1.0,-6.056561716999999
79,grid,-6.056561716999999,0.0001,0.01,0.001,10000,5.0,5.0,-6.056561716999999
80,grid,-6.056561716999999,0.0001,0.01,0.001,10000,20.0,20.0,-6.056561716999999
81,grid,-4.305994710999999,0.0001,0.1,0.001,10000,0.1,0.1,-4.305994710999999
82,grid,-5.469432316,0.0001,0.1,0.001,10000,0.5,0.5,-5.469432316
83,grid,-6.056561716999999,0.0001,0.1,0.001,10000,1.0,1.0,-6.056561716999999
84,grid,-6.056561716999999,0.0001,0.1,0.001,10000,5.0,5.0,-6.056561716999999
85,grid,-6.255561716999999,0.0001,0.1,0.001,10000,20.0,20.0,-6.255561716999999
86,grid,-4.305994710999999,0.0001,1.0,0.001,10000,0.1,0.1,-4.305994710999999
87,grid,-5.469432316,0.0001,1.0,0.001,10000,0.5,0.5,-5.469432316
88,grid,-6.056561716999999,0.0001,1.0,0.001,10000,1.0,1.0,-6.056561716999999
89,grid,-6.450601616999999,0.0001,1.0,0.001,10000,5.0,5.0,-6.450601616999999
90,grid,-6.450601616999999,0.0001,1.0,0.001,10000,20.0,20.0,-6.450601616999999
91,grid,-4.305994710999999,0.0001,10.0,0.001,10000,0.1,0.1,-4.305994710999999
92,grid,-5.469432316,0.0001,10.0,0.001,10000,0.5,0.5,-5.469432316
93,grid,-6.056561716999999,0.0001,10.0,0.001,10000,1.0,1.0,-6.056561716999999
94,grid,-6.450601616999999,0.0001,10.0,0.001,10000,5.0,5.0,-6.450601616999999
95,grid,-6.450601616999999,0.0001,10.0,0.001,10000,20.0,20.0,-6.450601616999999
96,grid,-3.911954811,0.0001,100.0,0.001,10000,0.1,0.1,-3.911954811
97,grid,-4.696094212,0.0001,100.0,0.001,10000,0.5,0.5,-4.696094212
98,grid,-4.985243313999999,0.0001,100.0,0.001,10000,1.0,1.0,-4.985243313999999
99,grid,-6.251601617,0.0001,100.0,0.001,10000,5.0,5.0,-6.251601617
100,grid,-6.450601616999999,0.0001,100.0,0.001,10000,20.0,20.0,-6.450601616999999
101,grid,-4.305994710999999,0.0001,0.01,0.01,10000,0.1,0.1,-4.305994710999999
102,grid,-5.469432316,0.0001,0.01,0.01,10000,0.5,0.5,-5.469432316
103,grid,-6.056561716999999,0.0001,0.01,0.01,10000,1.0,1.0,-6.056561716999999
104,grid,-6.056561716999999,0.0001,0.01,0.01,10000,5.0,5.0,-6.056561716999999
105,grid,-6.255561716999999,0.0001,0.01,0.01,10000,20.0,20.0,-6.255561716999999
106,grid,-4.305994710999999,0.0001,0.1,0.01,10000,0.1,0.1,-4.305994710999999
107,grid,-5.469432316,0.0001,0.1,0.01,10000,0.5,0.5,-5.469432316
108,grid,-6.056561716999999,0.0001,0.1,0.01,10000,1.0,1.0,-6.056561716999999
109,grid,-6.450601616999999,0.0001,0.1,0.01,10000,5.0,5.0,-6.450601616999999
