run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
28,FOGAS,12000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.7799914848833318,15.215325285913423
29,FOGAS,16000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.750753471705161,18.674000251106918
30,FOGAS,20000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.7377031755237973,22.19917153706774
31,FOGAS,4000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.9229657827324562,13.23076324001886
32,FOGAS,8000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8696299886698773,13.726855579996482
33,FOGAS,12000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8429557418278057,15.244811646873131
34,FOGAS,16000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8099135657385241,18.714170807041228
35,FOGAS,20000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8001717380106677,22.184278693050146
36,FOGAS,4000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0388274508447135,13.363953317981213
37,FOGAS,8000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.108485777209344,13.571530130924657
38,FOGAS,12000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1035420502565616,15.179734754841775
39,FOGAS,16000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0868004400864506,18.61917044292204
40,FOGAS,20000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.127579191425682,22.122061665868387
41,FOGAS,4000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.0738284274151164,13.364392980001867
42,FOGAS,8000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.914081008803188,13.533226119820029
43,FOGAS,12000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.9510807590756762,15.080494890920818
44,FOGAS,16000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.8757162546493817,18.594488851958886
45,FOGAS,20000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.805746954350803,22.073426004033536
46,FOGAS,4000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),16.134647473767334,13.209439523052424
47,FOGAS,8000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),14.020335086879157,13.40536061488092
48,FOGAS,12000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),10.348055992023385,15.034974771086127
49,FOGAS,16000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),12.758228704708774,18.541437681997195
50,FOGAS,20000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),11.996827610661587,22.202432029880583
51,FOGAS,4000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0042767669697232,13.0969744019676
52,FOGAS,8000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.08196434353254,13.515042866114527
53,FOGAS,12000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1556165997597985,15.076486737001687
54,FOGAS,16000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1709825155098486,18.62567055504769
55,FOGAS,20000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1416227925344535,22.244738060981035
56,FOGAS,4000,0.1,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0867516189506286,13.205685262102634
