run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
29,FQI,16000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.750753471705161,5.94092844799161
30,FQI,20000,0.0,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.7377031755237973,7.430420397082344
31,FQI,4000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.9229657827324562,1.980591607047245
32,FQI,8000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8696299886698773,3.150649986928329
33,FQI,12000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8429557418278057,4.513218402862549
34,FQI,16000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8099135657385241,6.014588601188734
35,FQI,20000,0.1,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),1.8001717380106677,7.310476914048195
36,FQI,4000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0388274508447135,1.97611731197685
37,FQI,8000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.108485777209344,3.239473268855363
38,FQI,12000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1035420502565616,4.483555220998824
39,FQI,16000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0868004400864506,5.886632479960099
40,FQI,20000,0.3,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.127579191425682,7.431689972989261
41,FQI,4000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),3.0738284274151164,1.964386535109952
42,FQI,8000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.914081008803188,3.2266259959433228
43,FQI,12000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.9510807590756762,4.3511933060362935
44,FQI,16000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.8757162546493817,5.922479795059189
45,FQI,20000,0.5,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.805746954350803,7.211849090876058
46,FQI,4000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),16.134647473767334,1.9578161102253944
47,FQI,8000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),14.020335086879157,3.2227562570478767
48,FQI,12000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),10.348055992023385,4.448551131878048
49,FQI,16000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),12.758228704708774,5.842122206930071
50,FQI,20000,0.7,80% optimal-eps / 20% random,80_20,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),11.996827610661587,7.336682045832276
51,FQI,4000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.0042767669697232,1.969404567964375
52,FQI,8000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.08196434353254,3.1311047980561852
53,FQI,12000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1556165997597985,4.47705347603187
54,FQI,16000,0.0,60% optimal-eps / 40% random,60_40,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),2.1709825155098486,5.94664013502188
