sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,grid_size,n_states,n_actions,gamma,x0,goal_state,pit_states,terminal_states,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,elapsed_seconds,run_idx
main_ablation,deterministic_10grid,fogas_diag,10000,0.001,3e-05,0.01,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.91,-0.9687984756262996,-0.9833797558880704,0.2646931431453691,1.0,-0.82274123760695,-0.8227412376069501,0.0,2.284173861309549,-62.96803959880092,1.445318069171806,2.5624773284251514,1587.7449020474423,4.031043860107621,2.289363434772551,0.0621702715789961,2499.655566396192,246
main_ablation,deterministic_10grid,fogas_diag,10000,0.001,3e-05,2.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.9,-0.995101330318329,-0.9645253003765136,0.225382175989583,1.0,-0.82274123760695,-0.8227412376069501,0.0,1.5421792540741552,-59.52777074371863,2.040988347447461,1.7434237555264367,1566.2727030189628,2.5065096855604323,2.143243767654481,0.0357938122198364,2538.801144347992,252
main_ablation,deterministic_10grid,fogas_diag,10000,0.001,3e-05,0.1,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9774349987329426,-0.9804221972127424,0.2666348403980947,1.0,-0.82274123760695,-0.8227412376069501,0.0,1.5099125180198063,-55.07010588766301,0.2121348748433315,1.7602380503714374,1607.013378619772,2.524887564781129,2.178925362486542,0.0646705572139873,2523.381380660925,249
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,0.03,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9790149331038814,-0.983341534895848,0.2683360779915551,1.0,-0.82274123760695,-0.8227412376069501,0.0,2.18754724634508,-63.75688759140329,1.0513772897890803,2.4372516256077703,1646.061736950724,3.249043255677489,2.3551158472185296,0.0582112306305747,1438.5394725948572,324
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,1e-05,2.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9967591840730547,-0.992951397845579,0.2734935594673844,1.0,-0.82274123760695,-0.8227412376069501,0.0,6.230193378217651,-218.9514076350755,20.872242633022164,6.433117599198661,2906.775012849336,2.768095278223122,3.691849038253891,0.05805119309741,1494.3989587358665,323
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9978570133260556,-0.9669173400573792,0.2266716424249677,1.0,-0.82274123760695,-0.8227412376069501,0.0,1.2912387490170365,-59.98750703670918,0.7512239173731469,1.5118111583133924,1600.8944126341453,2.3149277671254107,2.653299647944616,0.0532561226613275,1532.8328673611395,330
main_ablation,deterministic_10grid,fogas_full,10000,0.001,3e-05,1.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9978570133260556,-0.9669173400573792,0.2266716424249677,1.0,-0.82274123760695,-0.8227412376069501,0.0,1.2912387490170365,-59.98750703670918,0.7512239173731469,1.5118111583133924,1600.8944126341453,2.3149277671254107,2.653299647944616,0.0532561226613275,3440.944696432911,262
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,5.0,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-0.9985338649590736,-0.9607373443008372,0.2336649791081199,1.0,-0.82274123760695,-0.8227412376069501,0.0,3.680731355830905,-93.59871559083054,10.466231597211532,3.845679022839521,1605.495934606026,1.2158500184483148,1.7346961514052404,0.0409734450930387,1540.1738058859482,334
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,1e-05,0.1,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.87,-1.0042490869269587,-0.9960814577706896,0.2692795681214185,1.0,-0.82274123760695,-0.8227412376069501,0.0,10.347628775183525,-273.2514454967107,25.77790226482535,10.577552758170352,3045.847373501888,3.812096059787509,4.19261267623579,0.0655405960948813,1322.2211318188347,318
eta_rho_sweep,deterministic_10grid,fogas_full,10000,0.001,3e-05,0.1,,0.01,10,1e-08,reg_fixed,adam,warm,False,adam,exact,4,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,10,100,4,0.9,0,99,"18,32,57,61,75","18,32,57,61,75,99",100,50,42,cpu,ok,,0.86,-0.9673921228334496,-0.9859602136655854,0.2600766763324941,1.0,-0.82274123760695,-0.8227412376069501,0.0,0.5264254489148554,-60.04600513596653,-1.1277710725240595,0.7669770399919483,1683.377953731474,2.4749264116358014,2.594546410224882,0.0665666108263919,1502.096637425013,326
