problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1650,11,0.9023,0.1130732756073054,0.0113073275607305,0.99,-0.1194431992710017,-0.4103011144932171,0.0455560076634816,-0.1275930850177369,95.23366792849932,0.0025649606706436,0.334725592757387,0.0032543761144824,cpu,ok,,21.999293923028745,22.800551298016217,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1800,12,0.9142,0.0219816268549877,0.0021981626854987,1.0,-0.1236549278896351,-0.4986786175710359,0.0563441590553262,-0.1326870784558658,103.1265064148426,0.0024705826594467,0.323732724453577,0.0029271146507163,cpu,ok,,21.999293923028745,22.851280761009548,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1950,13,0.9165,0.0173714615610683,0.0017371461561068,1.0,-0.1248359159735164,-0.607463436938721,0.0701630256990449,-0.1347733439331443,111.36870256163029,0.0035099283354919,0.3391044259023909,0.0028006239889002,cpu,ok,,21.999293923028745,22.901173737016503,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2100,14,0.9157,0.0214266425298274,0.0021426642529827,1.0,-0.1252117557121188,-0.7296162619398251,0.0847869796526091,-0.1360420773972922,121.18011120606452,0.0013299372389769,0.3687137728656326,0.0033941835880698,cpu,ok,,21.999293923028745,22.95144974498544,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2250,15,0.9204,0.0182529920060168,0.0018252992006016,1.0,-0.1245126067049767,-0.8680918429919249,0.1004854399642452,-0.1362567529675713,130.9821617214991,0.0044127927790605,0.4069071648750691,0.0028780362187054,cpu,ok,,21.999293923028745,22.999864018987864,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2400,16,0.9232,0.0142757829837098,0.0014275782983709,1.0,-0.1207576958159974,-1.0210326724324046,0.1110042617447028,-0.1335327108917772,140.62632199850526,0.0056192222512155,0.4002414845884695,0.0026101094315196,cpu,ok,,21.999293923028745,23.052226255007557,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2550,17,0.9224,0.0134179135501911,0.0013417913550191,1.0,-0.1212408262294789,-1.1508775772252977,0.1044275690225253,-0.1349995903357713,149.36706806032777,0.0059911762987726,0.3300223217045098,0.0029185310490671,cpu,ok,,21.999293923028745,23.0999898929731,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2700,18,0.9241,0.0092217354137062,0.0009221735413706,1.0,-0.1202259045993849,-1.2802642228868342,0.1073964380732373,-0.1347981495937828,157.8517645151294,0.0071642665710917,0.2890268818535786,0.0031204648342894,cpu,ok,,21.999293923028745,23.14699732401641,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2850,19,0.9259,0.0072606591792461,0.0007260659179246,1.0,-0.1229927755955287,-1.4248809686147716,0.0939954147315321,-0.1385226692649771,165.43379043856663,0.0067477751260477,0.270104810767036,0.0045672947012808,cpu,ok,,21.999293923028745,23.1933513910044,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,3000,20,0.9271,0.005182526976156,0.0005182526976156,1.0,-0.1308638304678827,-1.5380032514812525,0.0859890987084016,-0.1475334530374585,170.86648471161743,0.0057365513884368,0.2929226019920336,0.0053026740068285,cpu,ok,,21.999293923028745,23.239245043019764,1
