rho,seed,T,alpha,eta,theta_lambda,theta_lr,theta_inner_steps,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,problem,gamma,intended_prob,num_trajectories,max_steps,checkpoint_count,device,status,error,step,checkpoint_idx,solver_avg_reward,solver_success_rate,greedy_avg_reward,greedy_success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,train_elapsed_seconds,elapsed_seconds,run_idx
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1650,11,-0.42135000000000017,0.79,0.049300000000000094,0.94,-1.459996012193543,-1.8604463447412776,0.19000329542173733,-1.47521934956148,63.271970427657934,0.002360397551094107,0.2551139795313996,0.04397559973913922,26.50896573800128,28.04706780303968,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1800,12,-0.2713000000000002,0.84,0.049300000000000094,0.94,-1.5478811673367698,-2.110997547009838,0.252118069488433,-1.5635226217900688,67.89516091139227,0.008904746348173488,0.2818096119487264,0.042597091611048014,26.50896573800128,28.157231507007964,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1950,13,-0.2493000000000002,0.88,0.049300000000000094,0.94,-1.6299087284342815,-2.3771484464549455,0.32009043543416293,-1.6461291837580152,72.22428037824538,0.007171187874463358,0.31463428051046777,0.041148926632603694,26.50896573800128,28.26528488402255,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2100,14,-0.1721000000000001,0.9,0.049300000000000094,0.94,-1.6948075318023366,-2.6829746787646562,0.4051915566059716,-1.7119269055616302,77.31438427769538,0.00867576582687995,0.34060012871608747,0.039514945479809375,26.50896573800128,28.373168259044178,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2250,15,-0.18335000000000015,0.91,0.049300000000000094,0.94,-1.7497229369147898,-2.9868530759622316,0.500276073054627,-1.7675350867777158,82.89714351037398,0.014196352715062513,0.3344946626435936,0.03782021868230828,26.50896573800128,28.481026722991373,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2400,16,-0.14270000000000008,0.92,0.049300000000000094,0.94,-1.7903279694500989,-3.331458250618134,0.6096709580936271,-1.8079608528532818,86.63975394979283,0.009688009485743618,0.3527085015529016,0.035994998259417516,26.50896573800128,28.58686131099239,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2550,17,-0.1715000000000001,0.9,0.049300000000000094,0.94,-1.8233835777818195,-3.7512616818031925,0.7266152617880975,-1.8416921624621179,92.42704822395196,0.015348790573506903,0.40657867400142256,0.0339542698544574,26.50896573800128,28.69357545702951,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2700,18,-0.1410500000000001,0.93,0.049300000000000094,0.94,-1.827893992847724,-4.181294507270049,0.8721047519376978,-1.8468632718267133,99.27641081517726,0.017013186524665165,0.43088890104242855,0.031883940237680236,26.50896573800128,28.80807921802625,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2850,19,-0.12845000000000006,0.93,0.049300000000000094,0.94,-1.8302054030661348,-4.590196849374935,1.019793239432439,-1.8496488398313027,104.339495835537,0.020561874773092962,0.4117824137141961,0.029807874910647715,26.50896573800128,28.912675605039112,7
0.05,42,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,3000,20,-0.07730000000000009,0.93,0.049300000000000094,0.94,-1.8074866003529595,-5.129075653113562,1.1925119319448203,-1.8271531775925651,108.98434318515949,0.01932447966076805,0.4467687212991765,0.027812480280968693,26.50896573800128,29.016759307996836,7
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,150,1,-2.0406000000000004,0.0,-2.0000000000000004,0.0,-0.14835426891198347,-0.14977688349955287,0.0016456705015073473,-0.149689113692955,9.568059509096052,0.0003254656481841916,0.041714056718652616,0.0499848237923863,25.041231858020183,25.2520333059947,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,300,2,-2.0248500000000003,0.0,-2.00565,0.0,-0.2967159452612298,-0.2991694408344853,0.003283933529910779,-0.3003001870057412,17.40092283977907,0.000589724691141284,0.060644903154823904,0.04994072364621572,25.041231858020183,25.430470138962846,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,450,3,-1.9933500000000006,0.03,-2.0444500000000003,0.0,-0.44451632769665067,-0.4496273471656725,0.005483490387148575,-0.4495805554518732,26.23629103040424,0.00017991619547037067,0.10468184426109386,0.04983865719390777,25.041231858020183,25.60003006696934,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,600,4,-1.9117000000000006,0.09,-0.04609999999999995,0.9,-0.5911078005324786,-0.603011067084916,0.008891956662483661,-0.598130037144432,34.914078753811395,0.0008911583835894627,0.08870865674209208,0.04964003666185052,25.041231858020183,25.736742856970523,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,750,5,-1.6221000000000005,0.27,-0.04699999999999995,0.9,-0.7347801868178017,-0.7607976127103631,0.015219509127338807,-0.7430074294174184,40.85357495011218,0.000694675073757183,0.12954714587382563,0.0492852007623531,25.041231858020183,25.871138766990043,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,900,6,-1.4079500000000007,0.36,-0.04654999999999995,0.9,-0.873685446173597,-0.9186855854398714,0.026314187968474182,-0.8835667037594149,44.54227910695405,0.001401967007529677,0.1492251214873896,0.04880110640797477,25.041231858020183,25.998618617944885,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1050,7,-1.2909500000000005,0.42,-0.03249999999999992,0.91,-1.0065935708112301,-1.080451290794203,0.043406000747679446,-1.0174169036277596,49.12244207902022,0.0013927581862015219,0.17065891660580798,0.04816552968262829,25.041231858020183,26.121582330961246,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1200,8,-1.0007500000000003,0.57,0.039400000000000095,0.94,-1.1325804802894555,-1.2553995392918926,0.06741902764137535,-1.1448048628626784,52.933003840165874,0.0021605540637591393,0.20517125105357162,0.047389095095203504,25.041231858020183,26.24087493296247,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1350,9,-0.7204500000000001,0.67,0.039400000000000095,0.94,-1.2503548003178266,-1.4385594501713004,0.09964464262620251,-1.263438256615893,55.825448124735914,0.005467329476096611,0.2028609296053249,0.046390258724441025,25.041231858020183,26.356263640976977,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1500,10,-0.4806500000000002,0.76,0.039400000000000095,0.94,-1.3612965297030333,-1.6447364269077582,0.138702846572976,-1.3752181659712792,59.14054349016394,0.0056327510200536975,0.2576535404960144,0.04526112610152126,25.041231858020183,26.46948553196853,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1650,11,-0.4491500000000002,0.78,0.039400000000000095,0.94,-1.459996012193543,-1.8604463447412776,0.19000329542173733,-1.47521934956148,63.271970427657934,0.002360397551094107,0.2551139795313996,0.04397559973913922,25.041231858020183,26.58130356000038,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1800,12,-0.2991000000000002,0.83,0.039400000000000095,0.94,-1.5478811673367698,-2.110997547009838,0.252118069488433,-1.5635226217900688,67.89516091139227,0.008904746348173488,0.2818096119487264,0.042597091611048014,25.041231858020183,26.691809147945605,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1950,13,-0.2771000000000001,0.87,0.039400000000000095,0.94,-1.6299087284342815,-2.3771484464549455,0.32009043543416293,-1.6461291837580152,72.22428037824538,0.007171187874463358,0.31463428051046777,0.041148926632603694,25.041231858020183,26.80429987196112,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2100,14,-0.19990000000000008,0.89,0.039400000000000095,0.94,-1.6948075318023366,-2.6829746787646562,0.4051915566059716,-1.7119269055616302,77.31438427769538,0.00867576582687995,0.34060012871608747,0.039514945479809375,25.041231858020183,26.91253772994969,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2250,15,-0.2111500000000001,0.9,0.039400000000000095,0.94,-1.7497229369147898,-2.9868530759622316,0.500276073054627,-1.7675350867777158,82.89714351037398,0.014196352715062513,0.3344946626435936,0.03782021868230828,25.041231858020183,27.020371405000333,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2400,16,-0.17050000000000012,0.91,0.039400000000000095,0.94,-1.7903279694500989,-3.331458250618134,0.6096709580936271,-1.8079608528532818,86.63975394979283,0.009688009485743618,0.3527085015529016,0.035994998259417516,25.041231858020183,27.126835066999774,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2550,17,-0.19930000000000012,0.89,0.039400000000000095,0.94,-1.8233835777818195,-3.7512616818031925,0.7266152617880975,-1.8416921624621179,92.42704822395196,0.015348790573506903,0.40657867400142256,0.0339542698544574,25.041231858020183,27.233922725950833,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2700,18,-0.16885000000000008,0.92,0.039400000000000095,0.94,-1.827893992847724,-4.181294507270049,0.8721047519376978,-1.8468632718267133,99.27641081517726,0.017013186524665165,0.43088890104242855,0.031883940237680236,25.041231858020183,27.341543018992525,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2850,19,-0.1562500000000001,0.92,0.039400000000000095,0.94,-1.8302054030661348,-4.590196849374935,1.019793239432439,-1.8496488398313027,104.339495835537,0.020561874773092962,0.4117824137141961,0.029807874910647715,25.041231858020183,27.44890308898175,5
0.05,43,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,3000,20,-0.10510000000000008,0.92,0.039400000000000095,0.94,-1.8074866003529595,-5.129075653113562,1.1925119319448203,-1.8271531775925651,108.98434318515949,0.01932447966076805,0.4467687212991765,0.027812480280968693,25.041231858020183,27.55534102197271,5
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,150,1,-2.0406000000000004,0.0,-2.0000000000000004,0.0,-0.14835426891198347,-0.14977688349955287,0.0016456705015073473,-0.149689113692955,9.568059509096052,0.0003254656481841916,0.041714056718652616,0.0499848237923863,24.103392533957958,24.316535771009512,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,300,2,-2.0248500000000003,0.0,-2.00565,0.0,-0.2967159452612298,-0.2991694408344853,0.003283933529910779,-0.3003001870057412,17.40092283977907,0.000589724691141284,0.060644903154823904,0.04994072364621572,24.103392533957958,24.49463544099126,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,450,3,-1.9933500000000006,0.03,-2.0478000000000005,0.0,-0.44451632769665067,-0.4496273471656725,0.005483490387148575,-0.4495805554518732,26.23629103040424,0.00017991619547037067,0.10468184426109386,0.04983865719390777,24.103392533957958,24.662872828019317,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,600,4,-1.907050000000001,0.09,-0.04509999999999995,0.9,-0.5911078005324786,-0.603011067084916,0.008891956662483661,-0.598130037144432,34.914078753811395,0.0008911583835894627,0.08870865674209208,0.04964003666185052,24.103392533957958,24.801344672974665,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,750,5,-1.6123000000000007,0.28,-0.04599999999999995,0.9,-0.7347801868178017,-0.7607976127103631,0.015219509127338807,-0.7430074294174184,40.85357495011218,0.000694675073757183,0.12954714587382563,0.0492852007623531,24.103392533957958,24.931849280023016,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,900,6,-1.3866000000000005,0.37,-0.04554999999999995,0.9,-0.873685446173597,-0.9186855854398714,0.026314187968474182,-0.8835667037594149,44.54227910695405,0.001401967007529677,0.1492251214873896,0.04880110640797477,24.103392533957958,25.057551355974283,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1050,7,-1.2696000000000005,0.43,-0.0314999999999999,0.91,-1.0065935708112301,-1.080451290794203,0.043406000747679446,-1.0174169036277596,49.12244207902022,0.0013927581862015219,0.17065891660580798,0.04816552968262829,24.103392533957958,25.17903362697689,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1200,8,-0.9794000000000003,0.58,0.04040000000000009,0.94,-1.1325804802894555,-1.2553995392918926,0.06741902764137535,-1.1448048628626784,52.933003840165874,0.0021605540637591393,0.20517125105357162,0.047389095095203504,24.103392533957958,25.297568642010447,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1350,9,-0.6991000000000003,0.68,0.04040000000000009,0.94,-1.2503548003178266,-1.4385594501713004,0.09964464262620251,-1.263438256615893,55.825448124735914,0.005467329476096611,0.2028609296053249,0.046390258724441025,24.103392533957958,25.411508327990305,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1500,10,-0.4593000000000002,0.77,0.04040000000000009,0.94,-1.3612965297030333,-1.6447364269077582,0.138702846572976,-1.3752181659712792,59.14054349016394,0.0056327510200536975,0.2576535404960144,0.04526112610152126,24.103392533957958,25.523212796018925,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1650,11,-0.44115000000000015,0.78,0.04040000000000009,0.94,-1.459996012193543,-1.8604463447412776,0.19000329542173733,-1.47521934956148,63.271970427657934,0.002360397551094107,0.2551139795313996,0.04397559973913922,24.103392533957958,25.63572031998774,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1800,12,-0.2911000000000002,0.83,0.04040000000000009,0.94,-1.5478811673367698,-2.110997547009838,0.252118069488433,-1.5635226217900688,67.89516091139227,0.008904746348173488,0.2818096119487264,0.042597091611048014,24.103392533957958,25.750002039014362,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,1950,13,-0.2761000000000001,0.87,0.04040000000000009,0.94,-1.6299087284342815,-2.3771484464549455,0.32009043543416293,-1.6461291837580152,72.22428037824538,0.007171187874463358,0.31463428051046777,0.041148926632603694,24.103392533957958,25.858611800998915,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2100,14,-0.19190000000000007,0.89,0.04040000000000009,0.94,-1.6948075318023366,-2.6829746787646562,0.4051915566059716,-1.7119269055616302,77.31438427769538,0.00867576582687995,0.34060012871608747,0.039514945479809375,24.103392533957958,25.96743969398085,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2250,15,-0.2031500000000001,0.9,0.04040000000000009,0.94,-1.7497229369147898,-2.9868530759622316,0.500276073054627,-1.7675350867777158,82.89714351037398,0.014196352715062513,0.3344946626435936,0.03782021868230828,24.103392533957958,26.075531039969064,3
0.05,44,3000,0.001,0.0001,3e-07,0.001,10,fogas_full,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/5grid_stochastic.csv,stochastic,0.9,0.8,100,20,20,cpu,ok,,2400,16,-0.16250000000000012,0.91,0.04040000000000009,0.94,-1.7903279694500989,-3.331458250618134,0.6096709580936271,-1.8079608528532818,86.63975394979283,0.009688009485743618,0.3527085015529016,0.035994998259417516,24.103392533957958,26.181825711973943,3
