num_centers,feature_dim,base_sigma,sigma,sigma_scale,normalize_rbf,status,error,elapsed_seconds,solver_avg_reward,greedy_avg_reward,greedy_success_rate
100,404,0.11111111111111115,0.011111111111111115,0.1,True,ok,,19.78437146707438,-1.1617379881985284,-0.8227412376069501,1.0
99,400,0.11124358472362507,0.011124358472362508,0.1,True,ok,,19.257366019068286,-1.1597492671930243,-0.8227412376069501,1.0
98,396,0.1113787618792515,0.01113787618792515,0.1,True,ok,,19.250014841090888,-1.00663957108967,-0.8227412376069501,1.0
97,392,0.1115167261927259,0.011151672619272591,0.1,True,ok,,18.794459729921073,-1.1600073717786805,-0.8227412376069501,1.0
96,388,0.11165756476273103,0.011165756476273103,0.1,True,ok,,18.615035842871293,-1.101735372060212,-0.8227412376069501,1.0
95,384,0.11193941980409289,0.011193941980409289,0.1,True,ok,,17.450417287182063,-0.9999789152683028,-0.8227412376069501,1.0
94,380,0.11194823159869907,0.011194823159869909,0.1,True,ok,,18.203497714130208,-1.007359769654689,-0.8227412376069501,1.0
93,376,0.11181621259707229,0.01118162125970723,0.1,True,ok,,17.909051802940667,-1.007359769654689,-0.8227412376069501,1.0
92,372,0.11196642987016835,0.011196642987016836,0.1,True,ok,,17.58732481300831,-1.0023294775481473,-0.8227412376069501,1.0
91,368,0.1118317093330275,0.01118317093330275,0.1,True,ok,,16.833802707958966,-1.2495853790460978,-0.8227412376069501,1.0
90,364,0.11242259987499885,0.011242259987499885,0.1,True,ok,,16.770459322957322,-1.1950626463234026,-0.8227412376069501,1.0
89,360,0.11276683885299536,0.011276683885299538,0.1,True,ok,,16.452825763029978,-0.9988493273475119,-0.8227412376069501,1.0
88,356,0.11289950488004898,0.011289950488004899,0.1,True,ok,,16.347681359853595,-1.1503354082373847,-0.8227412376069501,1.0
87,352,0.11231707779054818,0.01123170777905482,0.1,True,ok,,15.790669991867617,-1.1551685672329177,-0.8227412376069501,1.0
86,348,0.11282459679747968,0.011282459679747968,0.1,True,ok,,15.9349232041277,-1.1075939740386151,-0.8227412376069501,1.0
85,344,0.11235022742733757,0.011235022742733757,0.1,True,ok,,15.65183198498562,-1.113400625683855,-0.8227412376069501,1.0
84,340,0.11329692571759069,0.01132969257175907,0.1,True,ok,,15.60069433785975,-1.0674658324918425,-0.9948462247926804,0.0
83,336,0.11367658348728082,0.011367658348728084,0.1,True,ok,,15.224300463916734,-1.2005809150274869,-0.8227412376069501,1.0
82,332,0.1137565142114306,0.01137565142114306,0.1,True,ok,,15.25744445901364,-1.0431541324281537,-0.8227412376069501,1.0
81,328,0.11398930798598916,0.011398930798598918,0.1,True,ok,,14.993053328013048,-0.9731966827063963,-0.8227412376069501,1.0
80,324,0.1139815130623217,0.01139815130623217,0.1,True,ok,,14.914707268821076,-1.04811101235665,-0.9948462247926804,0.0
79,320,0.11261548529195098,0.011261548529195099,0.1,True,ok,,14.412466441979632,-0.9851797264079423,-0.9948462247926804,0.0
78,316,0.11395988253437185,0.011395988253437185,0.1,True,ok,,14.796605616109446,-0.939203656897643,-0.9948462247926804,0.0
77,312,0.11409334690457673,0.011409334690457674,0.1,True,ok,,14.629810333019122,-1.0384481087963584,-0.9948462247926804,0.0
76,308,0.114178663043547,0.0114178663043547,0.1,True,ok,,14.243697775062174,-0.9827606856898452,-0.8227412376069501,1.0
75,304,0.11413050951950034,0.011413050951950034,0.1,True,ok,,13.781027144985273,-1.0004950856924282,-0.9948462247926804,0.0
74,300,0.11368804731311707,0.011368804731311709,0.1,True,ok,,13.65642276010476,-1.085373498995065,-0.9948462247926804,0.0
73,296,0.11549741788489969,0.01154974178848997,0.1,True,ok,,13.317214549984783,-0.9995233847982675,-0.9948462247926804,0.0
72,292,0.11366686406545151,0.011366686406545153,0.1,True,ok,,13.212197601795197,-1.0111157904728076,-0.9948462247926804,0.0
71,288,0.1148145869333472,0.011481458693334721,0.1,True,ok,,12.632531725103036,-1.161800673715753,-0.8227412376069501,1.0
70,284,0.1150499473673866,0.01150499473673866,0.1,True,ok,,12.663819570094347,-1.0592119198699455,-0.8227412376069501,1.0
69,280,0.11609954634302888,0.011609954634302888,0.1,True,ok,,12.329338028095663,-1.065890697547043,-0.9948462247926804,0.0
68,276,0.11572144508865351,0.011572144508865352,0.1,True,ok,,12.334334008162841,-0.9960354117773591,-0.9948462247926804,0.0
67,272,0.11683056724306035,0.011683056724306036,0.1,True,ok,,11.995746072847396,-0.9888266645349564,-0.9948462247926804,0.0
66,268,0.11581821062752903,0.011581821062752904,0.1,True,ok,,11.913140339078382,-1.0566543285641672,-0.9948462247926804,0.0
65,264,0.11557691023269676,0.011557691023269676,0.1,True,ok,,11.633685110835359,-1.050849343165701,-0.9948462247926804,0.0
64,260,0.11713855196897374,0.011713855196897376,0.1,True,ok,,11.62071808706969,-0.9778612851850952,-0.9948462247926804,0.0
63,256,0.11528160659475593,0.011528160659475595,0.1,True,ok,,10.871510019991547,-1.091505520990856,-0.9948462247926804,0.0
62,252,0.12219885925271023,0.012219885925271025,0.1,True,ok,,11.756492411950603,-0.9652100611734248,-0.9948462247926804,0.0
61,248,0.11596448558244785,0.011596448558244786,0.1,True,ok,,11.57225086609833,-1.03775719861863,-0.9948462247926804,0.0
60,244,0.12122871528642985,0.012122871528642986,0.1,True,ok,,11.385028510121629,-0.9788447379666927,-0.8227412376069501,1.0
59,240,0.1226202075980866,0.01226202075980866,0.1,True,ok,,10.694382932037115,-1.0359596622187963,-0.9948462247926804,0.0
58,236,0.12034320551785195,0.012034320551785195,0.1,True,ok,,10.720247337128967,-1.361036045536047,-0.9948462247926804,0.0
57,232,0.11896505240436903,0.011896505240436903,0.1,True,ok,,10.498133224900812,-1.0901514779254347,-0.9948462247926804,0.0
56,228,0.12207518772918159,0.01220751877291816,0.1,True,ok,,10.475608262000605,-0.9878590773149785,-0.9948462247926804,0.0
55,224,0.11997795180541682,0.011997795180541683,0.1,True,ok,,10.001376674044877,-1.0796193407485057,-0.9948462247926804,0.0
54,220,0.12350392957011579,0.01235039295701158,0.1,True,ok,,10.030962337041274,-1.3967895400057013,-2.1297181459240004,0.0
53,216,0.12478597436284332,0.012478597436284333,0.1,True,ok,,9.738132652128115,-1.4165230581241737,-2.1297181459240004,0.0
52,212,0.12603359974325737,0.012603359974325738,0.1,True,ok,,9.710273490985855,-0.9853372376536317,-0.9948462247926804,0.0
51,208,0.13012911458037746,0.013012911458037747,0.1,True,ok,,9.010447031119838,-1.40300601839721,-2.1297181459240004,0.0
50,204,0.13281671106428214,0.013281671106428215,0.1,True,ok,,8.781620311085135,-1.4069963207854659,-2.1297181459240004,0.0
49,200,0.13366364073424106,0.013366364073424106,0.1,True,ok,,8.406885095871985,-1.40300601839721,-2.1297181459240004,0.0
48,196,0.13504699231781422,0.013504699231781422,0.1,True,ok,,8.081074181944132,-1.4069963207854659,-2.1297181459240004,0.0
47,192,0.1370690068076486,0.013706900680764862,0.1,True,ok,,7.7654941759537905,-1.4069963207854659,-2.1297181459240004,0.0
46,188,0.13642557941940914,0.013642557941940914,0.1,True,ok,,7.785065460950136,-1.33084867309672,-2.1297181459240004,0.0
45,184,0.13833193469396016,0.013833193469396016,0.1,True,ok,,7.653659611940384,-1.344931626531994,-2.1297181459240004,0.0
44,180,0.14063191954997786,0.014063191954997787,0.1,True,ok,,7.617561739170924,-1.33084867309672,-2.1297181459240004,0.0
43,176,0.14269522259636577,0.014269522259636578,0.1,True,ok,,7.669739124830812,-1.2188332500054642,-0.9948462247926804,0.0
42,172,0.14293672556046624,0.014293672556046626,0.1,True,ok,,7.858649576082826,-1.3725999126362212,-0.9948462247926804,0.0
41,168,0.14547524065509249,0.01454752406550925,0.1,True,ok,,7.686959700891748,-1.3725999126362212,-0.9948462247926804,0.0
40,164,0.14456427010089407,0.014456427010089408,0.1,True,ok,,7.741231128806248,-1.0433177088335477,-0.9948462247926804,0.0
39,160,0.15121323260602074,0.015121323260602074,0.1,True,ok,,7.851533245993778,-1.4228929976077125,-2.1297181459240004,0.0
38,156,0.15070542024796782,0.015070542024796782,0.1,True,ok,,7.772772383876145,-1.0638018717793376,-0.9948462247926804,0.0
37,152,0.15155477319634209,0.015155477319634209,0.1,True,ok,,7.851893024984747,-1.1328079076622508,-0.9948462247926804,0.0
36,148,0.1539970318504671,0.01539970318504671,0.1,True,ok,,7.680918587138876,-1.4809439168384326,-2.1297181459240004,0.0
35,144,0.1563960611234322,0.015639606112343222,0.1,True,ok,,7.676065067993477,-1.4990664875083493,-2.1297181459240004,0.0
34,140,0.15818693874178322,0.01581869387417832,0.1,True,ok,,7.711282208096236,-1.5482125268653089,-2.1297181459240004,0.0
33,136,0.16781294300204225,0.016781294300204225,0.1,True,ok,,7.77427158690989,-1.0849719418683539,-0.9948462247926804,0.0
32,132,0.16649596847167097,0.0166495968471671,0.1,True,ok,,7.68911134195514,-1.3893675649994601,-2.1297181459240004,0.0
31,128,0.17274609628520898,0.0172746096285209,0.1,True,ok,,7.738229262176901,-1.0954182353161959,-0.9948462247926804,0.0
30,124,0.1788997701750841,0.01788997701750841,0.1,True,ok,,7.617848528083414,-1.191608233251342,-0.9948462247926804,0.0
29,120,0.17766142668310986,0.017766142668310985,0.1,True,ok,,7.496990975923836,-1.173410741700047,-0.9948462247926804,0.0
28,116,0.18634925274111439,0.01863492527411144,0.1,True,ok,,7.538602398009971,-1.3785957339156556,-0.9948462247926804,0.0
27,112,0.1853920042559065,0.018539200425590648,0.1,True,ok,,7.751643779920414,-1.0234184268458442,-0.9948462247926804,0.0
