num_centers,feature_dim,sigma,status,error,elapsed_seconds,solver_avg_reward,greedy_avg_reward,greedy_success_rate
72,300.0,0.11111111111111122,ok,,13.623118445975706,-0.9118663728831201,-0.8227412376069501,1.0
71,296.0,0.11129582783841938,ok,,13.290417853044346,-0.9118663728831201,-0.8227412376069501,1.0
70,292.0,0.11148582218650777,ok,,13.214517983840778,-0.9644900571818141,-0.8227412376069501,1.0
69,288.0,0.11187139445249547,ok,,12.622356678824872,-0.9625013361763102,-0.8227412376069501,1.0
68,284.0,0.11188257508986871,ok,,12.663111961912364,-0.9118663728831201,-0.8227412376069501,1.0
67,280.0,0.11208983406923645,ok,,12.598573498195037,-0.9138550938886244,-0.8227412376069501,1.0
66,276.0,0.11230337362373646,ok,,12.326443071011454,-0.9138550938886244,-0.8227412376069501,1.0
65,272.0,0.11317641697863154,ok,,11.979586796136573,-0.9657822735596596,-0.8227412376069501,1.0
64,268.0,0.11341360750216906,ok,,11.918880335055292,-0.9160893360059188,-0.8227412376069501,1.0
63,264.0,0.11319283930775849,ok,,11.661642157938331,-0.918470671284814,-0.8227412376069501,1.0
62,260.0,0.11444173023722648,ok,,11.639408950926736,-0.9186870446638267,-0.8227412376069501,1.0
61,256.0,0.11460183581966997,ok,,10.850408192025498,-0.9151473102664696,-0.8227412376069501,1.0
60,252.0,0.11514017088880807,ok,,11.751994624035433,-1.0044377996185083,-0.8227412376069501,1.0
59,248.0,0.11411403662876113,ok,,11.395726262126118,-1.139332358245896,-0.8227412376069501,1.0
58,244.0,0.11489754686038746,ok,,11.444678426953033,-0.9197754711365252,-0.8227412376069501,1.0
57,240.0,0.1155718269531285,ok,,10.73652020492591,-0.9698045760037559,-0.8227412376069501,1.0
56,236.0,0.11724187667128848,ok,,10.763455221895128,-1.006374049256711,-0.8227412376069501,1.0
55,232.0,0.1163506220489767,ok,,10.516358417924494,-1.013313868294598,-0.8227412376069501,1.0
54,228.0,0.11966882418131294,ok,,10.692934965947643,-1.0557020267378239,-0.8227412376069501,1.0
53,224.0,0.11671434469207853,ok,,10.006072646006942,-1.004127223665551,-0.8227412376069501,1.0
52,220.0,0.11955252247478333,ok,,10.098906139144674,-1.004704289332372,-0.8227412376069501,1.0
51,216.0,0.12085925696855979,ok,,9.866471578134224,-0.9224235754835715,-0.8227412376069501,1.0
50,212.0,0.12006393219210645,ok,,9.748068592045456,-1.1429895899737725,-0.8227412376069501,1.0
49,208.0,0.1222832332683667,ok,,9.067243584198877,-0.9736125149113338,-0.8227412376069501,1.0
48,204.0,0.12344448080382046,ok,,8.831295770825818,-1.1168251866974592,-0.8227412376069501,1.0
47,200.0,0.12074920611443314,ok,,8.354745996883139,-1.0098048420000094,-0.8227412376069501,1.0
46,196.0,0.12438125011730153,ok,,8.200375301996246,-0.9497376231726019,-0.8227412376069501,1.0
45,192.0,0.12927890683835067,ok,,7.708993001841009,-1.1565508289588775,-0.8227412376069501,1.0
44,188.0,0.13251948245530906,ok,,7.914598337840289,-1.1239178803767444,-0.8227412376069501,1.0
43,184.0,0.12986136621109898,ok,,7.730131248943508,-1.0420408536870958,-0.8227412376069501,1.0
42,180.0,0.12950016706174428,ok,,7.690891269827262,-1.3202142888670616,-0.8227412376069501,1.0
41,176.0,0.13411567150900727,ok,,7.74435631884262,-1.25418183763465,-0.8227412376069501,1.0
40,172.0,0.1383397871922766,ok,,7.558199018007144,-1.1011879359880417,-0.8227412376069501,1.0
39,168.0,0.1386463922938201,ok,,7.500262110028416,-1.078955183102043,-0.8227412376069501,1.0
38,164.0,0.14055815400240315,ok,,7.4943190009798855,-1.0964138920810087,-0.8227412376069501,1.0
37,160.0,0.14067634627416642,ok,,7.4788993750698864,-1.3275755994240181,-0.8227412376069501,1.0
36,156.0,0.142841398270237,ok,,7.592237211065367,-1.0909829675236975,-0.8227412376069501,1.0
35,152.0,0.1467885924179634,ok,,7.523577946936712,-1.2431348907439796,-0.8227412376069501,1.0
34,148.0,0.14129354371088076,ok,,7.824010160053149,-1.1035082783502317,-0.8227412376069501,1.0
33,144.0,0.15187603773286434,ok,,7.529215929098427,-1.191072283567167,-0.8227412376069501,1.0
32,140.0,0.15260754880915878,ok,,7.595017009181902,-1.3237862678732868,-0.9948462247926804,0.0
31,136.0,0.15742248964941508,ok,,7.566471057944,-1.3779642831290584,-0.8227412376069501,1.0
30,132.0,0.16273200091268197,ok,,7.528466243995354,-1.3875365060581395,-0.8227412376069501,1.0
29,128.0,0.15930919263063942,ok,,7.557132844114676,-1.0045146602118227,-0.9948462247926804,0.0
28,124.0,0.16033442967420136,ok,,7.367405819008127,-1.4697805040689556,-0.9948462247926804,0.0
27,120.0,0.16567009865627672,ok,,7.351602467009798,-1.5928941902414546,-0.9948462247926804,0.0
26,116.0,0.1708944104630864,ok,,7.332365861162543,-1.4261452545433497,-0.9948462247926804,0.0
25,112.0,0.1803688526083924,ok,,7.374456383986399,-1.3314983292614282,-0.9948462247926804,0.0
24,108.0,0.18608020568858985,ok,,7.301139612914994,-1.0720349483711984,-0.9948462247926804,0.0
23,104.0,0.20521484700871015,ok,,7.367387300124392,-1.2626074296565886,-0.9948462247926804,0.0
22,100.0,0.2034615461384788,ok,,7.418113332008943,-1.1432290113308015,-0.9948462247926804,0.0
21,96.0,0.21291082564590585,ok,,7.446090315002948,-1.0940631823336595,-0.9948462247926804,0.0
20,92.0,0.2155662953801803,ok,,7.460888912901282,-1.1474129970539433,-0.9948462247926804,0.0
