critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction,run_idx
closed_form,0.0001,0.03,0.0001,500,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,34.148183839046396,0.0,0.0,-0.9999734386011134,-1.0010194655655442,0.0009210092073180793,0.0,0.0,-0.9999734386011134,-1.0005881706560804,0.0004663841720130099,109.40965188335439,-109.40965188335439,134.38196119838656,109.41035643498518,7.067050978081505,46.30719639821839,0.09639153419528834,-0.05760004614739635,0.13629100042043463,-0.05760027750213254,0.13629141960092028,0.012,191
closed_form,0.0001,0.1,0.001,500,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,36.963534284965135,0.0,0.0,-0.9999734386011134,-1.000588019072145,0.0005458868507263776,0.0,0.0,-0.9999734386011134,-1.000588169541981,0.0004663808318753724,164.85731387162943,-164.85731387162943,176.87812706227774,164.85735851665422,1.5505333627899476,54.22742229614377,0.004872223686014814,-0.09492708223353125,0.15480012839412957,-0.09492710792102221,0.15480014148615062,0.012,231
closed_form,0.0001,0.1,0.01,500,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,42.03647119796369,0.0,0.0,-0.9999734386011134,-1.00094065753259,0.0010281377860511126,0.0,0.0,-0.9999734386011134,-1.0000501124316874,5.416583092785869e-05,190.01033595670933,-190.01033595670933,193.00581112154768,190.01034625459042,0.24476375822238366,45.25782606544019,0.0016716462304201406,-0.10430019792723681,0.1646932835854997,-0.10430020720383992,0.16469328396536206,0.012,236
closed_form,0.0003,0.01,0.001,500,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:2,ok,,43.25847524392884,0.0,0.0,-0.9999734386011134,-1.0009281759576403,0.0007833980675459994,0.0,0.0,-0.9999734386011134,-1.0005881695419807,0.0004663808299278227,54.708846388838175,-54.708846388838175,58.8061846978013,54.709317637579055,1.567839352782467,32.70197853117913,0.054948120331088486,-0.09440810968753283,0.1546648907220242,-0.09440882453439987,0.15466536880601814,0.012,406
closed_form,0.0001,0.01,0.0001,500,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,43.865243467036635,0.0,0.0,-0.9999734386011134,-1.001319419067691,0.001135397996056197,0.0,0.0,-0.9999734386011134,-1.000850187310434,0.0008792366824010603,108.39706765641441,-108.39706765641441,133.4093578608823,108.40062564004829,7.072302626561451,35.41455292777474,0.5019888800944876,-0.057483393878959045,0.13559574064667662,-0.05748453515710863,0.13559788084824784,0.012,156
closed_form,0.0003,0.03,0.0001,1000,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,44.62494692101609,0.0,0.0,-0.9999734386011134,-1.0009431518587613,0.0008687287516260157,0.0,0.0,-0.9999734386011134,-1.0005881706560804,0.0004663841720130099,36.4717126447307,-36.4717126447307,44.809650510509265,36.47175771493576,7.073001963342085,53.639951006354515,0.011045168684882584,-0.057522091680864355,0.13640988514364663,-0.057522138322107126,0.13640996460422156,0.012,437
closed_form,0.0003,0.1,0.001,1000,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:1,ok,,44.98298144200817,0.0,0.0,-0.9999734386011134,-1.0005739567786696,0.0005367896672833959,0.0,0.0,-0.9999734386011134,-1.000588169541981,0.0004663808318753724,54.94145338479576,-54.94145338479576,58.95350379833053,54.94145634607847,1.5515245635668284,61.1652635829,0.0005769895026746379,-0.09491223673110748,0.154806067158207,-0.09491224232969034,0.15480606946740244,0.012,478
closed_form,0.0003,0.003,0.001,1000,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:0,ok,,45.01121869299095,0.0,0.0,-0.9999734386011134,-1.0013354191090769,0.001068249901449654,0.0,0.0,-0.9999734386011134,-1.0005881695419807,0.0004663808299278227,54.405169411250654,-54.405169411250654,58.62006810654566,54.40573624256139,1.5901569477226338,28.09374905784727,0.12310535703314845,-0.09401703404068147,0.1543146012923732,-0.09401789181988096,0.15431518110165268,0.012,372
closed_form,0.0003,0.01,0.001,1000,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,45.041001245961525,0.0,0.0,-0.9999734386011134,-1.0007098893980302,0.0006301853156069829,0.0,0.0,-0.9999734386011134,-1.0005881695419807,0.00046638083018492175,54.87525734189289,-54.87525734189289,58.90834114185159,54.875342588740914,1.555570355807285,39.23006424945712,0.018349700163524902,-0.09462353850917822,0.1548551763728601,-0.09462367466900336,0.1548552583871235,0.012,407
closed_form,0.0003,0.003,0.0001,1000,,,,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new.csv,100,100,200,42,cuda:3,ok,,45.148905152920634,0.0,0.0,-0.9999734386011134,-1.0017221424014882,0.0014307699162131493,0.0,0.0,-0.9999734386011134,-1.000850187310434,0.0008792366824010603,35.605427348848046,-35.605427348848046,43.980440544333256,35.606777734321135,7.08815750813092,30.351879469831665,0.3587596627975141,-0.057168689496658126,0.13464321898808027,-0.05717004914700827,0.1346456508320707,0.012,367
