alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_mode,theta_lambda,D_theta,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,intended_prob,dataset_path,num_trajectories,max_steps,max_steps_long,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_success_rate_200,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_success_rate_200,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,0.0003,0.01,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,61.23736010794528,0.0,0.0,-0.9999734386011134,-1.0007077082851037,0.0006127188982769553,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.2304788576654609,-2.7360726304133953,0.03771503775646135,-0.06724671177980765,115.95583602554645,0.09983710872660621,0.07819752348976838,2.9684475170767536e-06,3168
0.0005,0.001,2.0,5000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,61.271190664032474,0.0,0.0,-0.9999734386011134,-1.0003057805650872,0.00032794108054859237,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-2.133856176730017,-36.239463675199254,2.100376366943764,-2.015979004686569,2087.3858983396267,1.5388693499847714,1.4317550242349957,0.0016567987423433913,2002
0.0005,0.0001,0.01,5000,0.03,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,61.41296234307811,0.0,0.0,-0.9999734386011134,-1.0003305072272177,0.00036630238176670233,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-5.791040750509167,-58.87811672653671,0.7774956958909548,-5.672168971268426,6684.768060035526,4.477667682385567,0.8395882876893666,0.0016659173523415208,538
0.0005,0.0003,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,61.542763759964146,0.0,0.0,-0.9999734386011134,-1.0005083925924254,0.0005759576997247824,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-23.16660398151619,-199.23034428582324,-1.9235089413945514,-22.857270731885954,20653.623130558823,16.698994730151984,1.0470922863257666,0.004292350074320633,1175
0.0005,0.0003,0.01,5000,0.03,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,61.571302787051536,0.0,0.0,-0.9999734386011134,-1.0003702569161446,0.00041531523170683024,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-6.462690217159344,-63.41261927056659,0.47551604349040627,-6.192198088382751,5916.506524135477,4.790317607254559,0.6357457115537102,0.0018531852858770397,1064
0.0005,0.0001,1.0,5000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,61.79426894104108,0.0,0.0,-0.9999734386011134,-1.0003065195925542,0.00033671395793633777,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-1.4549516621195837,-18.912364305597535,0.5355524299720018,-1.3338517646974617,2197.5960968768595,1.1197207515188752,0.4571728241568831,0.0012117468516221904,846
0.0005,3e-05,0.01,5000,0.03,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,61.906376975006424,0.0,0.0,-0.9999734386011134,-1.0021290127606424,0.0013223762268681275,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-2.072571831875872,-30.935441017737837,1.780205764563045,-0.9953447466284038,446.19638281866867,0.8643965537030252,1.7789305195233591,6.099094414679743e-07,18
0.0005,3e-05,2.0,5000,0.3,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,61.90936188795604,0.0,0.0,-0.9999734386011134,-1.000309183987011,0.000330629694987027,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-60.67647247545776,-561.3754327406177,6.661982388352171,-58.704116335918194,61244.44683436163,48.601126881403786,6.30579391240766,0.0018391655140079784,448
0.001,0.0001,0.01,5000,0.03,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,62.269236839027144,0.0,0.0,-0.9999734386011134,-1.0002847527998031,0.0002927756850976985,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.31827504383402894,1.4940949037553757,-0.6020158345823858,-0.07732307571623023,1675.6753371292257,0.1995330628018139,0.3076573504620773,0.0011930048535132673,2641
0.0005,0.001,0.5,5000,0.01,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,62.470704812090844,0.0,0.0,-0.9999734386011134,-1.000411105308114,0.00045969776799341904,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-2.1225588739096386,-24.2123053526751,0.6115074589854284,-1.8842383945182974,1686.7763533742639,1.5811071711525349,0.5769096729536743,0.001656760412219991,1793
0.0005,3e-05,0.1,5000,0.3,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,62.50947582104709,0.0,0.0,-0.9999734386011134,-1.0019256900503077,0.00119489633564766,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-27.359169801004562,-233.60919306884253,2.362628580555778,-13.639410285100999,5223.044661862893,13.4655910449691,2.74810196263442,6.0027618373091025e-06,137
0.0005,0.0003,1.0,5000,0.01,10,reg_fixed,0.0001,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,62.52691719296854,0.0,0.0,-0.9999734386011134,-1.0052188432428055,0.002913514265658061,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-0.6307072124599247,-8.527360758587232,0.695984017428936,-0.2812583725580434,74.99723831771372,0.1254894423989871,0.7103429545595427,1.3460994570904027e-06,1378
0.0005,3e-05,1.0,5000,0.03,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,62.582552063977346,0.0,0.0,-0.9999734386011134,-1.0003377624810694,0.0003821193946630102,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-4.192824422768538,-72.6500104639947,4.182665162555839,-4.07260087589096,6728.251295769269,3.328667574121965,2.4691790867240018,0.0012574717155545403,330
0.0005,3e-05,2.0,5000,0.03,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,62.60768554103561,0.0,0.0,-0.9999734386011134,-1.0003499955827966,0.0004000339584199774,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-4.190189089999818,-76.2574282136913,3.3065348643344894,-4.070278685022118,6734.653151069128,3.2837508031493767,3.10437222152225,0.0012344524996308543,434
0.001,0.0001,0.1,5000,0.03,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,62.63844190805685,0.0,0.0,-0.9999734386011134,-1.0002227645562587,0.00022772188801493796,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.48986300335418054,6.06627920667478,-1.0991463856204544,-0.37171232058339787,6087.4108282296165,0.2963372333224918,1.0775329852821138,0.0018129798063694592,2743
0.0005,3e-05,0.01,5000,0.1,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,62.660998772014864,0.0,0.0,-0.9999734386011134,-1.0036359491812374,0.002080137024952528,0.0,0.0,-0.9999734386011134,-1.0005679977278543,0.00030306817856461804,-4.290993142364212,-41.46583328963321,1.7156454321139638,-2.1085020820579126,649.3992992979049,1.6456827805853804,2.003907601155434,1.6503052140511019e-06,25
0.001,0.0001,0.01,5000,0.01,10,reg_fixed,1e-07,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,62.784447746002115,0.0,0.0,-0.9999734386011134,-1.0002828493729274,0.0003140929612848256,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,0.26531030527936217,56.37464677381698,-5.171300612198847,0.3900025797095796,677.587534176423,0.027589240900143423,5.325119804457442,0.017897806333757153,2633
0.0005,3e-05,0.5,5000,0.3,10,reg_fixed,1e-06,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,62.86190340202302,0.0,0.0,-0.9999734386011134,-1.0019185617743183,0.0011911857522837574,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-27.618975426185155,-237.77779749156832,2.8729407082362237,-13.767878513823593,5248.1548975309615,13.493272142406086,2.7979659786527384,1.6328861548928682e-05,242
0.001,0.0001,0.01,5000,0.1,10,reg_fixed,1e-05,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:2,ok,,62.88296702504158,0.0,0.0,-0.9999734386011134,-1.0022138320491039,0.001482596162960072,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.4385166960022976,-6.231377676408992,0.18658367037147608,-0.172777578228233,185.87755519037447,0.23145890016851328,0.3035430420525539,2.6973636630930337e-06,2650
0.001,0.0001,1.0,5000,0.3,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,62.9113593789516,0.0,0.0,-0.9999734386011134,-1.0002313060372567,0.00023734229625072646,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-6.122777442632094,-57.18779787279925,-0.7626333937274052,-5.119539479769736,42475.14621808222,4.796557845485634,2.5862564474124157,0.0029599132800880957,2968
0.0005,0.0001,0.1,5000,0.1,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,62.927210437948816,0.0,0.0,-0.9999734386011134,-1.0003716565720722,0.00041741015916245346,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-20.89111795262289,-185.16296971470942,-0.48774288623044476,-20.57777995729267,20909.42533668693,15.978696703155796,0.6562083434151446,0.002139778156105323,652
0.001,0.0001,2.0,5000,0.1,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,62.93893956905231,0.0,0.0,-0.9999734386011134,-1.0002455745662455,0.0002553216717631925,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-1.7130467355676138,-35.08236548919683,2.1365365192368344,-0.9494563428199366,11518.34471511095,1.415319384078964,1.6529743601348563,0.0004553808165860472,3067
0.0005,0.0001,0.5,5000,0.3,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,62.988904967089184,0.0,0.0,-0.9999734386011134,-1.0004892920773736,0.0005570281809682308,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-66.01936594388849,-626.112951179344,-0.5242400926904244,-64.11071680538397,60212.03925712416,49.354269839711556,8.3025306716467,0.002439925202044122,762
0.0005,0.001,0.1,5000,0.01,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:0,ok,,63.01177007192746,0.0,0.0,-0.9999734386011134,-1.0003211756886787,0.0003481230046584393,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-2.2179449444582118,-19.197412444309368,-0.07078202484215261,-2.100544776176938,2065.6307150358302,1.6100528248201014,0.06923830937361831,0.0017859649462202945,1685
0.001,3e-05,0.1,5000,0.1,10,reg_fixed,1e-08,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:3,ok,,63.02707979094703,0.0,0.0,-0.9999734386011134,-1.0002450048676532,0.00025552769201268486,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-0.7643930130398742,29.38154202490847,-4.333446684164903,-0.1682320589004987,9968.244030903146,0.9702367619872072,3.821476380575114,0.001334629167389704,2226
0.001,0.0001,2.0,5000,0.3,10,reg_fixed,1e-09,,adam,warm,False,fogas_full,adam,exact,4,normal,0.8,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_stoch_new2.csv,100,100,200,42,cuda:1,ok,,63.02971534093376,0.0,0.0,-0.9999734386011134,-1.0002335027770255,0.00024050306627169894,0.0,0.0,-0.9999734386011134,-1.0000106172966026,6.981062311864546e-06,-5.888804859726202,-57.89513809178567,3.6266990758364703,-4.878204427438894,42665.41512662414,4.735879601063774,2.8198919209074034,0.0009360286823384477,3073
