run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,device,torch_threads,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm
458,Generalized FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.5488595087238135,0.13566614474645713,0.10863082803698035,-0.82274123760695,1.0,-0.8227412376069501,0.009463845324164943,0.3358469871064677,0.2559698104152833,-0.9364011163307056,0.91,-0.9338492354088543,0.21357138609766646,100.42824563005706,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,-0.2129729887888776,-22.735069630584725,2.591135017237611,-0.09304693744711542,245.68831934127527,0.10804020195291082,0.6019589438232369,0.010564602044003156
459,Generalized FOGAS,16000,0.1,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.557038168247064,1.97554464937627e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.30173425209360194,0.2253055544080284,-0.9148729604410417,0.97,-0.9321944625176511,0.20939886605139857,100.7225819939631,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,0.03356475308175444,-18.023597024080857,2.9551569764993073,0.15212597261379832,216.05018421717477,0.12597673555071756,0.6386799933696875,0.011483010166474348
460,Generalized FOGAS,20000,0.1,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.556876014934485,1.9724042404289786e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.14058872566053068,0.10282572287284365,-0.8651310063551045,0.99,-0.8836713166317506,0.10526628413181627,101.04539755999576,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:3,1,-0.13300450289536458,-20.10129918777452,3.5133599478522237,-0.026001756139081282,196.20781471006214,0.09493713836404202,0.6204990318712501,0.006325001575621514
461,Generalized FOGAS,4000,0.3,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.8072701370943494,0.8195787605920156,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.4582425398821406,1.135645529613168,-1.1115842507688638,0.0,-1.1226535598634106,0.7692497281258387,101.5281483339495,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:4,1,0.1267327248875909,-28.006316452709488,3.6625491195683773,0.30835070527354685,378.28858476814213,0.3826779742075755,0.9007663848248025,0.035053262876231915
462,Generalized FOGAS,8000,0.3,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.8060093288356303,0.8072191234786055,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.0643329061423825,0.8358809143241419,-1.0535516454515028,0.0,-1.0778279476831567,0.6019697178709074,103.34583335800562,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:5,1,0.19561812950730273,-26.58780805782463,3.3694225614397175,0.3321536160331085,290.2740059174111,0.3786548103347347,0.8176985746480674,0.03159879898019079
463,Generalized FOGAS,12000,0.3,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.8127157949595638,0.8187984064443968,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.9622167883409103,0.7536098688029835,-1.0445080020807027,0.0,-1.049285214641837,0.5270529172647662,104.51741184701677,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:6,1,0.02483093228408162,-25.74041793046102,2.9918567154699565,0.18543678357405113,337.7089090538578,0.4754656109667776,0.6535767885036927,0.03060824037627221
465,Generalized FOGAS,20000,0.3,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.8118587206235357,0.8901694251267154,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.3279063065996035,1.025429749068731,-1.069620877611554,0.0,-1.0887574316000828,0.6877613668379936,102.84961668797769,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:0,1,0.3537678445979737,-29.89602175697558,3.8846425538872102,0.53090220249,359.0609808126897,0.32930673719065234,0.7971409199340489,0.03296458668653934
464,Generalized FOGAS,16000,0.3,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,1.8174392737254355,0.8219678441564203,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.267906266995114,0.996102778270231,-1.0798694021606279,0.0,-1.0702145865324841,0.6403262617954593,107.30583893298171,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:7,1,-0.16871193136596263,-26.84589193885946,3.476960044779331,0.004526088084340588,334.9017617691454,0.34454759005847096,0.8620207090885156,0.027704072938507573
466,Generalized FOGAS,4000,0.5,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,2.3919420036736225,0.7078014567143305,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,1.060940168065856,0.9683121084130794,-1.0373038954791087,0.0,-1.0624894313726907,0.6176580875211726,104.11174556601327,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:1,1,-0.09357471685075369,-19.34967690347402,2.6416686751152976,0.044807963051155225,235.80070294632807,0.34177790901412336,0.6274515719135675,0.040434323052235696
467,Generalized FOGAS,8000,0.5,100% optimal-eps / 0% random,100_0,x0_50_custom_50,3,42,ok,,2.4305859087854067,0.7067756253067545,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000004,0.42542102974332047,0.8822809759181183,0.7920386850852797,-1.0367937583124656,0.0,-1.044827938552977,0.538097874142932,105.23493223293917,0.003,0.001,2.0,4000,0.01,20,1e-06,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,normal,cuda:2,1,0.028275717219173657,-20.033696094485443,2.8196778968635763,0.15492580211053072,256.53456567275396,0.37547864392325697,0.8281431849168039,0.04187390763817436
