critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction,run_idx
closed_form,0.03,0.03,1e-10,3000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,32.48783023003489,1.0,-0.8455281852711737,-0.8484933263830645,0.004916756802330216,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.10700801826098737,0.10700801826098737,-0.10700245740543098,-0.10700785993678957,56.93433775113223,61.55521766278341,0.00025726513386933934,0.02792609499081221,0.023434209465379982,0.027927235631794552,0.023433051925627245,0.10200000000000001,1404
closed_form,0.03,0.003,1e-10,10000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:6,ok,,63.57416492595803,1.0,-0.8456391485417203,-0.8484647049168957,0.00483259683098691,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1068906816731201,0.1068906816731201,-0.10688632817456176,-0.106890593352452,50.587614434277626,61.94834611000144,0.00018121005135925955,0.027934227701249044,0.02328007728487021,0.027935088478467228,0.023279158198594985,0.10200000000000001,1344
closed_form,0.03,0.03,1e-10,5000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,23.359916293004062,1.0,-0.8458459326117869,-0.8485566644082976,0.004768181244026384,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1067768561568675,0.1067768561568675,-0.10677455042094822,-0.10677675199726555,36.3448179304815,67.66016410816438,0.00012464896690976638,0.02794204077717461,0.02311638998160261,0.027943054321747974,0.023115299983126083,0.10200000000000001,1403
closed_form,0.03,0.01,1e-10,5000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,23.03653103101533,1.0,-0.8460863731139494,-0.8485527059893336,0.004964031608768021,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.10706520003621132,0.10706520003621132,-0.10705677075371703,-0.10706506972259704,70.56473147407522,59.7656179450015,0.0002886905097177455,0.027923381938455286,0.02349600517597417,0.027924283423442886,0.02349509924207911,0.10200000000000001,1369
closed_form,0.03,0.01,1e-10,3000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,27.35241265199147,1.0,-0.8492434739807158,-0.851051230239631,0.005524603709299323,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.10740554723170957,0.10740554723170957,-0.10738001515551235,-0.10740531198580996,123.19942442466602,53.426637339119054,0.00057426995988192,0.027929687129047392,0.023562132912536247,0.027930682925681162,0.023561240000289557,0.10200000000000001,1370
closed_form,0.03,0.001,1e-10,10000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,56.947800633031875,1.0,-0.8496234990414102,-0.850183831099817,0.005698101318717642,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.107314022973103,0.107314022973103,-0.10729596598482143,-0.1073138742630832,103.65793243676734,47.331360805892245,0.0004354414891557904,0.0279284715333673,0.023575789974422477,0.027929190075535248,0.023575126857676827,0.10200000000000001,1308
closed_form,0.03,0.003,1e-10,5000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:5,ok,,23.851353939040564,1.0,-0.8519470598458733,-0.854412974344839,0.006232889457508037,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1076519976099675,0.1076519976099675,-0.10760530049065486,-0.1076517022818163,166.85644937148544,48.7463819307908,0.0010181467413850605,0.027955640184556114,0.023363940157132536,0.027956543279807646,0.023363185581866636,0.10200000000000001,1335
closed_form,0.03,0.03,1e-10,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,6.9565847009653226,1.0,-0.8520437443408762,-0.8541762200842895,0.006121254519033724,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.10760364214502717,0.10760364214502717,-0.10757272089991697,-0.10760284678879738,134.44528005192743,51.3444897301371,0.0009505942227660233,0.027954461197254424,0.023373342184888006,0.02795647010006599,0.023371808641901182,0.10200000000000001,1397
closed_form,0.1,0.003,1e-10,10000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,57.37310482602334,1.0,-0.8660657779657691,-0.8711332204351958,0.013301600065326725,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.15596595529540452,0.15596595529540452,-0.15592181765826074,-0.15596564309989244,296.05891856753,58.99744014050628,0.0006127642580399076,0.09389277339772927,0.07026853994744649,0.09389579839330499,0.07026494169534696,0.10200000000000001,1588
closed_form,0.1,0.1,1e-10,500,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,13.289641684968956,1.0,-0.8666489971037469,-0.866922189337425,0.014198771803982005,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.1580794305751685,0.1580794305751685,-0.15807672138670906,-0.1580774421755448,37.96811387914822,53.009147825308325,0.001706163059394549,0.09390362908716983,0.07388717359588273,0.09390538057617434,0.07388730914480578,0.10200000000000001,1676
