ablation,policy_optimizer,policy_gradient,alpha,reinforce_samples,fisher_damping,cg_iters,cg_tol,checkpoint_step,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,7500,5,5,5,0,,0.86,0.86,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0149602200801024,-1.0149602200801024,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,8000,5,5,5,0,,0.83,0.8299999999999998,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,1.0,1.0,0.0,0.0,0.0,-1.0201995166939881,-1.0201995166939881,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,8500,5,5,5,0,,0.87,0.8699999999999999,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,1.0,1.0,0.0,0.0,0.0,-0.9671831198437646,-0.9671831198437646,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,9000,5,5,5,0,,0.78,0.78,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0383711205613744,-1.0383711205613744,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,9500,5,5,5,0,,0.9,0.9,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9798062766150611,-0.9798062766150611,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_exact_baseline,adam,exact,0.001,4,0.001,50,1e-10,10000,5,5,5,0,,0.89,0.89,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.9764880260290753,-0.9764880260290753,0.0,0.0,0.0,-0.82274123760695,-0.8227412376069501,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
adam_reinforce_samples,adam,reinforce,0.001,1,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6507288059178513,-1.6844205993458068,0.020761570745830987,0.009284856701469819,0.018198319134880844,-0.9948462247926807,-1.3970891043844391,0.3977897270362182,0.17789697408081395,0.34867806919839534
adam_reinforce_samples,adam,reinforce,0.001,2,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6074636191034457,-1.6570219202537046,0.04411684694339243,0.019729653743675857,0.038670121337604675,-1.5403406870691974,-1.5403406870691974,0.0,0.0,0.0
adam_reinforce_samples,adam,reinforce,0.001,4,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6169519144898812,-1.6556714667530046,0.026992981105955063,0.012071628133656594,0.023660391141966924,-1.5403406870691974,-1.5403406870691974,0.0,0.0,0.0
adam_reinforce_samples,adam,reinforce,0.001,8,0.001,50,1e-10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6386132796303159,-1.654348265703875,0.013049015995139137,0.005835697360922635,0.011437966827408363,-1.5403406870691974,-1.5403406870691974,0.0,0.0,0.0
