alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0002,3e-07,0.02,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,915.335650441004,154.1,16.134504089751943,0.9,-154.1,16.134504089751943,200.0,0.0,0.0,-200.0,0.0,-341.56916383765815,-328.66367007978596,-1.6969730242092607,-341.5740979030442,911.6403627000734,0.141784394253784,13.89355791781586,0.5931801546899805,116
0.0001,1e-06,0.005,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,920.5319118109765,156.5,31.83027908559186,0.9,-156.5,31.83027908559186,200.0,0.0,0.0,-200.0,0.0,-102.65214536313808,-100.06478517775759,-0.5058333678916634,-102.66336719242007,332.9530990280609,0.6094911491230088,30.201072971861763,0.41765521033211833,53
0.0002,3e-07,0.005,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,898.6498234960018,161.0,26.915505650915133,0.7,-161.0,26.915505650915133,200.0,0.0,0.0,-200.0,0.0,-341.86852782999176,-330.9659411471814,-1.71608864124822,-341.87304033125224,946.6294567857615,0.1712819639076235,12.49123632794576,0.4197174603518148,107
0.0002,3e-07,0.5,20000,0.001,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,896.6408496020013,163.8,24.98355014360004,0.7,-163.8,24.98355014360004,200.0,0.0,0.0,-200.0,0.0,-342.12125607132003,-330.3301592551037,-1.9700786595982427,-342.1262395690219,955.1453973465856,0.14836110855830634,12.974546007703875,0.42539481714890925,147
0.0003,1e-06,0.5,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,918.9844704529969,163.9,24.91964865099203,0.7,-163.9,24.91964865099203,200.0,0.0,0.0,-200.0,0.0,-102.69997864937923,-98.85849831950098,-0.5448440336946214,-102.70547500320218,316.92817991833897,0.06580375575783926,7.058939390588316,0.41455552565501164,294
0.0003,3e-07,0.02,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:6,ok,,899.6812273579999,165.8,13.138577633146681,1.0,-165.8,13.138577633146681,200.0,0.0,0.0,-200.0,0.0,-100.5241243077799,-110.36403336037847,1.5704775598216603,-100.62604229872694,291.97474370841996,0.7076579510584693,35.572959867335484,0.6169929754042768,215
0.0003,1e-06,0.1,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,922.5988983489806,167.9,22.153254087530044,0.7,-167.9,22.153254087530044,200.0,0.0,0.0,-200.0,0.0,-102.67682638180516,-98.82558507928815,-0.5211761885582066,-102.6823099867438,348.20034296259604,0.01604885962330673,4.406001111476133,0.41442830606863373,283
0.0003,3e-07,0.5,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,894.3093658940052,177.8,23.403703410642798,0.5,-177.8,23.403703410642798,200.0,0.0,0.0,-200.0,0.0,-287.759770305967,-277.4412299822635,-1.9131265875596113,-287.7647085429165,801.1349889979783,0.2552470669021988,37.68703491865375,0.4287160405460054,246
0.0002,1e-06,0.02,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,923.2944279859657,184.9,16.14827132131073,0.5,-184.9,16.14827132131073,200.0,0.0,0.0,-200.0,0.0,-132.03601269315672,-252.6611225180941,11.602897436056692,-132.52235111185288,659.3062818262237,10.068478571895781,52.39967951029965,3.946838953438497,166
0.0003,1e-06,0.05,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,919.0548284840188,189.4,11.217050513491602,0.5,-189.4,11.217050513491602,200.0,0.0,0.0,-200.0,0.0,-103.44567163140248,-91.31841263359046,-1.296185407235641,-103.44829032141367,340.41647782469767,2.8088926007322836,23.54452018238261,0.5991239360293222,274
