alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,feature_type,rbf_bins,rbf_centers,feature_dim,variance_scale,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,param_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0003,1e-07,0.1,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,757.0344363350305,156.16,1.0,-156.16,200.0,0.0,-200.0,-6.819292583950808,-6.8193689249373755,1.255182386495067e-05,-6.8192938466839905,685.6924274624207,5.713116028947268e-09,0.10789715951725433,0.019018622338453226,1220
0.0003,1e-07,0.02,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,759.4208169459598,156.16,1.0,-156.16,200.0,0.0,-200.0,-6.819292583237142,-6.819368928540923,1.2552534950636024e-05,-6.819293846052174,685.6924349161856,5.713715509837392e-09,0.1078971400558912,0.019018622456315307,1196
0.0003,1e-07,0.005,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,759.5855660009547,156.16,1.0,-156.16,200.0,0.0,-200.0,-6.819292583103321,-6.81936892921662,1.255266828599011e-05,-6.819293845933701,685.6924363138763,5.713827909953858e-09,0.10789713640745882,0.019018622478680938,1172
0.0003,1e-07,0.5,20000,0.001,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,759.6636847560294,156.16,1.0,-156.16,200.0,0.0,-200.0,-6.819292587518201,-6.8193689069241605,1.2548269333819122e-05,-6.819293849842256,685.6923902126879,5.710119563395623e-09,0.10789725681907929,0.019018621746316817,1244
0.0003,1e-06,0.5,20000,0.0003,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,754.0580912670121,156.22,1.0,-156.22,200.0,0.0,-200.0,-2.045612601613805,-2.0456879116693942,1.8297404066077186e-05,-2.045621102427266,147.47581934270963,1.3480037445945771e-08,0.03662517639685077,0.019010276530093257,1430
0.0003,1e-06,0.02,20000,0.0003,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,754.9538696039817,156.22,1.0,-156.22,200.0,0.0,-200.0,-2.045612527696706,-2.0456881221030225,1.8370856658375268e-05,-2.045621066782561,147.4758518174875,1.3563374366988842e-08,0.03662420147510932,0.019010289613860268,1382
0.0003,1e-06,0.1,20000,0.0003,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,755.3496182990493,156.22,1.0,-156.22,200.0,0.0,-200.0,-2.045612540045591,-2.0456880869514524,1.835858530595877e-05,-2.0456210727362465,147.47584637825435,1.3549450174114262e-08,0.03662436420835939,0.019010287433315277,1406
0.0003,1e-06,0.005,20000,0.0003,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,756.1952108700061,156.22,1.0,-156.22,200.0,0.0,-200.0,-2.0456125253799855,-2.045688128697488,1.8373158843309154e-05,-2.0456210656656753,147.47585283853704,1.3565986584440643e-08,0.03662417095253111,0.019010290023579946,1358
0.0003,1e-06,0.1,20000,0.0001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,756.4409952529822,156.4,0.98,-156.4,200.0,0.0,-200.0,-0.6819220818508336,-0.6819430388711676,8.42056973596704e-06,-0.6819290048671368,69.13229447110369,2.3754585224119293e-08,0.022287546830508705,0.019024967555710034,1396
0.0003,1e-06,0.02,20000,0.0001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,756.8079274810152,156.4,0.98,-156.4,200.0,0.0,-200.0,-0.6819220760174274,-0.681943046748774,8.426392425796418e-06,-0.6819290042940909,69.13298744231227,2.3774951467979642e-08,0.022286827515388453,0.0190249793294919,1373
0.0003,1e-06,0.005,20000,0.0001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,757.1709679419873,156.4,0.98,-156.4,200.0,0.0,-200.0,-0.6819220749230556,-0.6819430482265625,8.427484788478593e-06,-0.6819290041866506,69.13311749143296,2.3778773021646266e-08,0.022286692603582948,0.019024981541609972,1349
0.0003,3e-07,0.1,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,758.5889718550025,156.4,1.0,-156.4,200.0,0.0,-200.0,-0.6819298497080112,-0.681935554101084,2.127685562331061e-06,-0.6819316761184829,78.94027496643933,2.091131781837168e-08,0.0213403417550777,0.019020013520989226,1299
0.0003,3e-07,0.02,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,759.2570582350018,156.4,1.0,-156.4,200.0,0.0,-200.0,-0.6819298492769164,-0.6819355547316185,2.1281156514913678e-06,-0.6819316761241625,78.94113679085693,2.0917212277887908e-08,0.021340493311851932,0.019020014380784732,1275
0.0003,3e-07,0.5,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,759.2800865669851,156.4,1.0,-156.4,200.0,0.0,-200.0,-0.6819298518617368,-0.6819355509505717,2.125536863060996e-06,-0.6819316760904978,78.93596966089311,2.0881878577643944e-08,0.02133958554614507,0.019020009227029098,1323
0.0003,3e-07,0.005,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,760.6199928940041,156.4,1.0,-156.4,200.0,0.0,-200.0,-0.6819298491960726,-0.6819355548498593,2.1281963062043054e-06,-0.68193167612523,78.94129841139056,2.091831773617191e-08,0.021340521740667445,0.019020014542569706,1251
0.0003,1e-06,0.5,20000,0.0001,10,1e-08,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:4,ok,,761.2114992910065,156.4,0.98,-156.4,200.0,0.0,-200.0,-0.6819221109359118,-0.6819429995821785,8.39153807392369e-06,-0.681929007732952,69.12884533384262,2.365314059050996e-08,0.022291137970900248,0.01902490901053315,1421
0.0003,1e-07,0.005,20000,0.0003,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,757.8446141040185,156.44,1.0,-156.44,200.0,0.0,-200.0,-2.0457915345037776,-2.0458009276574054,2.014879197841732e-06,-2.0457923498071815,210.31382972615634,6.049254016057586e-09,0.03933693231536617,0.019018526520775503,1164
0.0003,1e-07,0.1,20000,0.0003,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,757.850042089005,156.44,1.0,-156.44,200.0,0.0,-200.0,-2.045791534653458,-2.0458009271234916,2.0147302698479807e-06,-2.0457923498868427,210.31379904179363,6.04842143435855e-09,0.03933698539913235,0.019018526412459994,1212
0.0003,1e-07,0.02,20000,0.0003,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,760.5246276879916,156.44,1.0,-156.44,200.0,0.0,-200.0,-2.045791534527412,-2.045800927573099,2.0148556818217266e-06,-2.04579234981976,210.31382488090327,6.0491225482731474e-09,0.03933694069655275,0.019018526503382954,1188
0.0003,1e-07,0.5,20000,0.0003,10,1e-09,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,760.629332085955,156.44,1.0,-156.44,200.0,0.0,-200.0,-2.045791535283542,-2.045800924876076,2.0141033767272226e-06,-2.045792350222202,210.31366990492583,6.0449172942401005e-09,0.03933720891306625,0.01901852595639268,1236
0.0001,1e-06,0.5,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,752.0460873690317,156.5,1.0,-156.5,200.0,0.0,-200.0,-6.629732997686854,-6.630263233555023,8.801776770865211e-05,-6.629744734636182,352.9824018226725,4.326850312893082e-08,0.08933729679119763,0.015541651880343508,960
0.0001,1e-06,0.02,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,752.5377979080076,156.5,1.0,-156.5,200.0,0.0,-200.0,-6.6297326842136455,-6.630264738211163,8.832695363312167e-05,-6.629744470335806,352.98240061391607,4.3309612260903476e-08,0.08933728478423265,0.015541651143134697,912
0.0001,1e-06,0.1,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,752.7058022629935,156.5,1.0,-156.5,200.0,0.0,-200.0,-6.6297327365816905,-6.630264486911913,8.827531057033946e-05,-6.629744514488141,352.98240081832415,4.329790351617301e-08,0.08933728679856338,0.015541651266266897,936
0.0001,1e-06,0.005,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,775.4559558360488,156.5,1.0,-156.5,200.0,0.0,-200.0,-6.629732674403321,-6.630264785367293,8.833664172679379e-05,-6.629744462066832,352.98240057946805,4.331109971537052e-08,0.08933728441795831,0.015541651120042407,891
0.0003,1e-06,0.5,20000,0.0001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,753.8578441279824,156.54,1.0,-156.54,200.0,0.0,-200.0,-0.6818777178481321,-0.6818975390804727,9.120437750803475e-06,-0.6818852114145536,50.491321487888726,1.3213464203242118e-08,0.022777281823184094,0.019018041497140186,1422
0.0003,1e-06,0.005,20000,0.0001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,754.4357121989597,156.54,1.0,-156.54,200.0,0.0,-200.0,-0.6818776752159966,-0.681897583586088,9.162573191676782e-06,-0.6818852048973756,50.49141470291714,1.3298673984522442e-08,0.02277565853627534,0.019018061513341407,1350
0.0003,1e-06,0.1,20000,0.0001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,754.6266948909615,156.54,1.0,-156.54,200.0,0.0,-200.0,-0.6818776834187692,-0.6818975750243181,9.154466033995636e-06,-0.6818852061507417,50.49139672053813,1.3282278556807522e-08,0.022775970558210915,0.019018057667218966,1398
0.0003,1e-06,0.02,20000,0.0001,10,1e-07,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:5,ok,,756.0010249440093,156.54,1.0,-156.54,200.0,0.0,-200.0,-0.6818776765118311,-0.6818975822335873,9.161292463420892e-06,-0.6818852050953575,50.491411860657585,1.3296083909277541e-08,0.022775707818047608,0.019018060905857604,1374
0.0001,1e-06,0.1,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,752.0548330420279,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.0211081161604887,-2.0211806304390096,1.8081295095732418e-05,-2.021116713702134,124.08436555239894,2.6558693147443795e-10,0.03594198060418806,0.017966652868659568,928
0.0001,1e-06,0.02,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,752.1144871140132,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.02110810331453,-2.0211806636947065,1.8093639593772077e-05,-2.021116707345276,124.0843651509407,2.6600969294872575e-10,0.03594197594591134,0.01796665281709779,904
0.0001,1e-06,0.5,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,753.0148126360145,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.021108180203663,-2.0211804646136167,1.8019752429034763e-05,-2.0211167454002315,124.08436755428377,2.6348486234569055e-10,0.03594200382199389,0.01796665312576859,952
0.0003,3e-07,0.1,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,753.5717103419593,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.0211213178697354,-2.021143085832018,5.4289448387202135e-06,-2.0211238992667955,124.08480675423282,2.4186073320671574e-11,0.03594609052884761,0.017966711460753047,1312
0.0003,3e-07,0.5,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,756.311833219952,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.0211213236509686,-2.021143070871424,5.423389097776281e-06,-2.021123902128384,124.08480693563904,2.4186741625572992e-11,0.035946092636332055,0.01796671148395456,1336
0.0001,1e-06,0.005,20000,0.0003,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,760.3598839220358,156.58,1.0,-156.58,200.0,0.0,-200.0,-2.0211081009045238,-2.0211806699335186,1.8095955524903618e-05,-2.021116706152723,124.084365075627,2.660890464844004e-10,0.03594197507193727,0.01796665280742475,880
3e-05,1e-07,0.02,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,752.3271164149919,156.66,1.0,-156.66,200.0,0.0,-200.0,-0.6819312084187239,-0.681933288918137,7.731475354841826e-07,-0.6819318931566601,76.33466769805395,9.50916920134994e-09,0.02166330615113807,0.019018099475937345,218
3e-05,1e-07,0.5,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,752.7962107609783,156.66,1.0,-156.66,200.0,0.0,-200.0,-0.6819312087217466,-0.6819332884028533,7.728451832396067e-07,-0.6819318931403175,76.3340753565684,9.502018945907355e-09,0.021663369814588662,0.01901809945267956,267
3e-05,1e-07,0.005,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,752.87542514698,156.66,1.0,-156.66,200.0,0.0,-200.0,-0.6819312084092516,-0.6819332889342441,7.731569864749576e-07,-0.6819318931571714,76.33468621529522,9.509392753659706e-09,0.021663304167492677,0.019018099476663518,195
3e-05,1e-07,0.1,20000,0.0001,10,1e-10,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,754.9279127519985,156.66,1.0,-156.66,200.0,0.0,-200.0,-0.6819312084692377,-0.6819332888322359,7.730971327403028e-07,-0.6819318931539322,76.33456894617674,9.50797703595167e-09,0.02166331673660542,0.01901809947206301,243
0.0003,1e-06,0.5,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,725.9484409959987,156.68,1.0,-156.68,200.0,0.0,-200.0,-6.629733010575167,-6.630263246493127,8.801782605876063e-05,-6.629744747528383,352.9824054774994,1.0167005730080332e-07,0.08933733167009351,0.015541651896205476,1440
0.0003,1e-06,0.02,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,753.5600466850447,156.68,1.0,-156.68,200.0,0.0,-200.0,-6.629732689480559,-6.630264743528909,8.832701393959157e-05,-6.629744475606652,352.98240210942413,1.0809203491798852e-07,0.08933732075677277,0.015541651161388025,1392
0.0003,1e-06,0.005,20000,0.001,10,1e-05,,rbf,15x15,225,675,0.05,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:7,ok,,753.7208841480315,156.68,1.0,-156.68,200.0,0.0,-200.0,-6.629732678879136,-6.630264789893779,8.833670195639696e-05,-6.62974446654658,352.98240185086036,1.079779416747768e-07,0.0893373203316159,0.015541651138305048,1368
