alpha,eta,rho,D_theta,T,beta,seed,device,status,error,elapsed_seconds,greedy_avg_reward,greedy_goal_count,greedy_success_rate,reached_goal,final_state,path_length,run_idx
0.0005,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.818475723033771,-0.9202335569231277,10,1.0,True,99,24,223
0.0005,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.820482378127053,-0.9202335569231277,10,1.0,True,99,24,224
0.0005,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.924795180093497,-0.9202335569231277,10,1.0,True,99,24,231
0.0005,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.822530351113528,-0.9202335569231277,10,1.0,True,99,24,232
0.0005,0.002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.728244138183072,-0.9202335569231277,10,1.0,True,99,24,239
0.0005,0.002,0.003,60.0,20000,1e-07,42,cuda,ok,,11.875466156052426,-0.9202335569231277,10,1.0,True,99,24,240
0.001,0.0001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.842711228877306,-0.9202335569231277,10,1.0,True,99,24,248
0.001,0.0001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.86677912902087,-0.9202335569231277,10,1.0,True,99,24,256
0.001,0.0001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.975348087027669,-0.9202335569231277,10,1.0,True,99,24,264
0.001,0.0002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.845268641831353,-0.9202335569231277,10,1.0,True,99,24,271
0.001,0.0002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.822701523080468,-0.9202335569231277,10,1.0,True,99,24,272
0.001,0.0002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.965624555945396,-0.9202335569231277,10,1.0,True,99,24,279
0.001,0.0002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.889606815064326,-0.9202335569231277,10,1.0,True,99,24,280
0.001,0.0002,0.003,40.0,20000,1e-07,42,cuda,ok,,11.933667391072959,-0.9202335569231277,10,1.0,True,99,24,287
0.001,0.0002,0.003,60.0,20000,1e-07,42,cuda,ok,,12.00829820195213,-0.9202335569231277,10,1.0,True,99,24,288
0.001,0.0005,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.897407962940633,-0.9202335569231277,10,1.0,True,99,24,295
0.001,0.0005,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.913555392995477,-0.9202335569231277,10,1.0,True,99,24,296
0.001,0.0005,0.001,40.0,20000,1e-07,42,cuda,ok,,11.950695307925344,-0.9202335569231277,10,1.0,True,99,24,303
0.001,0.0005,0.001,60.0,20000,1e-07,42,cuda,ok,,11.914724526926875,-0.9202335569231277,10,1.0,True,99,24,304
0.001,0.0005,0.003,40.0,20000,1e-07,42,cuda,ok,,12.051912155933678,-0.9202335569231277,10,1.0,True,99,24,311
0.001,0.0005,0.003,60.0,20000,1e-07,42,cuda,ok,,11.92100498592481,-0.9202335569231277,10,1.0,True,99,24,312
0.001,0.001,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.913068469846621,-0.9202335569231277,10,1.0,True,99,24,319
0.001,0.001,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.941279283957556,-0.9202335569231277,10,1.0,True,99,24,320
0.001,0.001,0.001,40.0,20000,1e-07,42,cuda,ok,,11.953702783910558,-0.9202335569231277,10,1.0,True,99,24,327
0.001,0.001,0.001,60.0,20000,1e-07,42,cuda,ok,,11.912462185136974,-0.9202335569231277,10,1.0,True,99,24,328
0.001,0.001,0.003,40.0,20000,1e-07,42,cuda,ok,,12.054881773190573,-0.9202335569231277,10,1.0,True,99,24,335
0.001,0.001,0.003,60.0,20000,1e-07,42,cuda,ok,,11.92501727398485,-0.9202335569231277,10,1.0,True,99,24,336
0.001,0.002,0.0005,40.0,20000,1e-07,42,cuda,ok,,11.929724558023736,-0.9202335569231277,10,1.0,True,99,24,343
0.001,0.002,0.0005,60.0,20000,1e-07,42,cuda,ok,,11.927642735186964,-0.9202335569231277,10,1.0,True,99,24,344
0.001,0.002,0.001,40.0,20000,1e-07,42,cuda,ok,,11.953800825867802,-0.9202335569231277,10,1.0,True,99,24,351
0.001,0.002,0.001,60.0,20000,1e-07,42,cuda,ok,,11.892384537030011,-0.9202335569231277,10,1.0,True,99,24,352
