status,error,seed,lambda_entropy,eta,lr_value,lr_policy,tau,max_buffer_size,batch_size,episodes,collect_per_episode,updates_per_episode,epsilon,elapsed_seconds,buffer_size_final,objective,v_sbeed_minus_v_lambda_star_l2,v_sbeed_minus_v_lambda_star_linf,v_sbeed_minus_v_star_l2,v_sbeed_minus_v_star_linf,soft_bellman_residual_linf,hard_bellman_residual_linf,V_sbeed,V_lambda_star,V_star
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.1,22.060124397277832,3000,0.012350326094319799,1.8319972566426448,0.868580192709037,1.7995754312687098,0.8563170365001747,0.7900007158103106,0.7900007158103106,"[-0.0001458364749686949, -2.6362953793043948e-05, -9.694897232877038e-06, -4.047430888951238e-07, 4.81873415230769e-07, -1.183677400319293e-05, 0.0, 0.0, -5.57379932826787e-06, -4.486517137222414e-08, -1.5164128775253589e-06, 1.3427348220218325e-05, 0.0, -6.1066513730410515e-06, 7.55751713733045e-06, 1.8826584774241744e-06, 4.6735323455583245e-06, -4.841325331853907e-06, 9.246428584038795e-06, 4.226936845197349e-08, 5.497497671847143e-07, -9.315117690088254e-08, 1.6271574761170977e-07, 5.571970734354149e-08, 0.0]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.2,21.778876066207886,3000,0.010706003393551246,1.8319989250638706,0.868580225081498,1.7995771108690855,0.8563170688726357,0.790000566973951,0.790000566973951,"[-0.00014214627080845469, -3.0283028734386762e-05, -1.2006999215435555e-05, -1.5486212122984965e-06, -4.7133096939578047e-08, 3.589068532354809e-06, 0.0, 0.0, -4.902706604725684e-06, -3.0583523607905334e-07, 5.528824989925309e-06, -3.1548924349012697e-06, 0.0, -6.439849065842574e-06, 6.995319432632654e-06, 9.94910926695818e-07, 1.0128568797090693e-06, 5.529016968493308e-07, 5.81413606980071e-06, 9.896907375831739e-09, 1.1381837174566758e-06, 4.282351601209904e-07, 3.0306585619646593e-07, 5.788555524331662e-07, 0.0]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,10,0.3,21.577163457870483,3000,0.012023275811380527,1.8319977578314564,0.8685800506659129,1.7995759281891037,0.856316902364019,0.7899998042315841,0.7899998042315841,"[-0.00014334664354924282, -3.511234145545847e-05, -5.002340065229375e-06, -3.898364560103784e-06, 5.842363548435084e-07, 7.587092360246474e-07, 0.0, 0.0, -5.985852295303296e-06, 1.0102627753017257e-06, 6.534092791654855e-06, -3.8417530876928005e-07, 0.0, -6.390267060382388e-06, 7.64924356560205e-06, 9.748613080099548e-07, 6.476114775464383e-07, -1.733075826523103e-06, 8.365954422909905e-06, 3.2916519651659447e-06, 2.2775240800783534e-06, 4.6916643452130086e-07, 4.742109296782607e-08, -1.690968009403561e-06, -2.861757860205355e-06]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.1,40.44664812088013,3000,0.011693016672049519,1.8319948641751351,0.8685804971990269,1.7995729437821015,0.8563173409901645,0.790000695078944,0.7900006950789439,"[-0.0001477032216226792, -3.068387453883262e-05, -1.559056126789125e-05, -4.765593886831514e-06, 4.348612000783289e-07, -1.3440104303133405e-05, 0.0, 0.0, -6.5644606534324475e-06, -7.055966470160565e-07, 3.7867056176996967e-06, 1.3514362821500028e-05, 0.0, -6.8351334554572825e-06, 1.0846529034431501e-05, 5.956608648092409e-07, 1.3719340992070943e-06, 5.449102278122877e-08, 4.379398113393301e-06, -2.6222062146713073e-07, 8.879872570493165e-09, 4.035174890216493e-06, 1.5349276540904656e-07, 3.084708964073087e-07, -3.143901584802257e-07]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.2,39.385112285614014,3000,0.01170041965517888,1.8319965364306054,0.8685800716703123,1.7995746419787728,0.85631691546145,0.7899998840112713,0.7899998840112713,"[-0.00014802760581930828, -2.7046538871348607e-05, -2.28946715218069e-05, -3.4726767085514905e-06, 8.95370798783198e-07, 3.105870532762945e-07, 0.0, 0.0, -6.791646240135322e-06, -5.674462823887728e-07, 5.835890313467143e-06, -2.0939693547812284e-06, 0.0, -4.288189314074221e-06, 1.0778944454439192e-05, 3.6787043217975827e-06, 1.0203995253655218e-07, -2.3788996508946764e-06, 6.414225062458281e-06, 1.6330809316669133e-07, 6.993546721269436e-07, -2.0965298456643547e-07, 1.3340316351141457e-07, 2.218229613640936e-06, -9.59113892795716e-07]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.2,15.186467170715332,3000,0.014984691829143248,1.832022385683437,0.8685842571401832,1.7996011164717685,0.8563211088382893,0.7900076517405009,0.7900076517405009,"[-0.00010248699242617819, -2.314289094614368e-05, -2.637756013582529e-05, -1.2090612411965245e-06, -1.078366456480589e-06, -2.2555337650861203e-05, 0.0, 0.0, -5.251585463781482e-06, 3.1288215438668513e-06, 7.037458071283953e-06, -1.8841150281879316e-05, 0.0, -6.413768272988203e-05, 1.38759206988879e-06, 7.990416616489494e-06, 2.3584511891659547e-06, -2.416344391073056e-05, 9.170356756328826e-05, 1.3565870255200987e-06, 1.2264871804989936e-06, -5.446363005294999e-07, 9.905752858892874e-08, -5.897442279684196e-06, -2.7600457585121233e-06]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.3,16.26431894302368,3000,0.014330780939766675,1.832006393757846,0.8685800933352501,1.799584743628887,0.8563169371263878,0.7899953785656637,0.7899953785656637,"[-9.97183736024384e-05, -2.4806654542602606e-05, -2.3024209119488275e-05, 2.780435250646836e-06, 9.83910758462529e-07, -1.6641114414636066e-05, 0.0, 0.0, -5.134850393039304e-06, 4.606875396070983e-06, 5.358693292387467e-06, -3.2479365371837364e-05, 0.0, -1.7030933842514955e-05, 1.7523890952606802e-06, -1.0435772134949373e-06, 4.80817746240732e-06, -1.9761880809510645e-05, 3.688433929687645e-05, 1.416431553279632e-07, 4.7457853463347394e-08, 9.04917903981099e-06, -3.949001644033608e-07, 5.747834692156906e-06, -8.137016863635148e-06]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,10,0.1,16.643503189086914,3000,0.014993690008241257,1.8320104721658033,0.868583183315845,1.7995888756078418,0.8563200271069827,0.7900011451406493,0.7900011451406493,"[-0.0001010588868290461, -2.0203558475430384e-05, -1.8954266164413584e-05, 7.938115026872491e-08, 1.607241305502324e-07, -1.2360059144489797e-05, 0.0, 0.0, -4.427617663588316e-06, 4.247851299431159e-06, -2.9136293079168522e-05, 3.197527171227623e-06, 0.0, -1.286403572639811e-05, 6.479702371832611e-07, 1.2664886465278436e-06, 4.042421280330387e-06, -1.660483367879356e-05, 3.520965890554349e-05, -2.9483374396668108e-06, -1.0569602066066065e-06, -3.901100010308231e-07, -8.005281135308513e-07, -6.733052871778497e-08, -4.292960675731268e-06]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,10,20,0.3,26.371947526931763,3000,0.011034926259375879,1.8319966717414218,0.8685802349784054,1.7995747901912669,0.8563170787695431,0.7900007320128001,0.7900007320128001,"[-0.00014702893151416588, -2.9074341577820153e-05, -1.7781436371701565e-05, -6.4348618131374e-06, 6.210611981392421e-07, -6.41796651698023e-06, 0.0, 0.0, -2.623434267971332e-06, 1.1862209054094204e-07, 5.434870665185075e-06, -1.5235628320157321e-06, 0.0, -8.325669832315795e-06, 1.1035259707516694e-05, 4.869763463169505e-07, -1.1651554604954426e-06, -5.46099070087737e-07, 9.557259676494834e-06, 0.0, 6.14750489087098e-06, 4.659013463414096e-07, 3.026020676559638e-07, -6.680532618709052e-07, -4.5708737705149774e-07]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
ok,,42,0.001,0.001,0.001,0.001,1,3000,64,1000,20,20,0.2,28.72647261619568,3000,0.01498783507442638,1.8320058559733057,0.868580364808801,1.7995841411542282,0.8563172165069071,0.7899986436740407,0.7899986436740407,"[-0.0001059343705551741, -3.320177957961369e-05, -2.0198176149333494e-05, -1.7372370975799714e-06, -4.7071667654522244e-07, -1.9913516070015163e-05, 0.0, 0.0, -3.936380901109001e-06, 2.0100557700936347e-06, -6.832485068722909e-06, -1.6541292408494743e-05, 0.0, -1.1084272123567533e-05, 3.987939358063302e-06, 8.69261867747821e-06, 4.599154721043219e-06, -1.758516158298867e-05, 3.232423514162506e-05, 2.5728415176442163e-06, 1.4382616182827112e-06, 1.0717060745662439e-07, 4.5235437799917673e-07, -2.0051108973897712e-06, -6.20412208468157e-06]","[-0.2337844617839753, -0.1412228515021946, -0.023519600006572022, 0.1110486175075932, 0.2506178957196215, -0.1393774755788567, -0.03959697859571818, 0.1041236489702634, 0.25596196424173345, 0.42230731686105133, -0.021324446947438114, 0.09779333364892434, 0.20922488507235434, 0.36403090546666417, 0.628114240504227, 0.10654196497484164, 0.24830265858149858, 0.3636381160073361, 0.013862942794293169, 0.8685802349784054, 0.2500420256560075, 0.4218873921631236, 0.6280744428846874, 0.8685783596979035, 0.013862942794293169]","[-0.2392813247258959, -0.14693821248184563, -0.029994919916481136, 0.10368214698163317, 0.24238052617044886, -0.14527292276052395, -0.04597479562606197, 0.09682343592276065, 0.24765895174782065, 0.4129419375180851, -0.028013987040853408, 0.09051447224761142, 0.20012557510160645, 0.35440044675617133, 0.6173957827759287, 0.09896833026686525, 0.24003764596658628, 0.3540095822854701, 0.0, 0.8563170787695431, 0.24179567418976433, 0.412523514577051, 0.6173561529598969, 0.8563152113960096, 0.0]"
