ok,run_id,seed,seconds,episodes_completed,stopped_early,stop_reason,episodes,collect_per_episode,updates_per_episode,initial_collect_steps,max_buffer_size,rollout_length,lambda_entropy,eta,lr_value,lr_rho,lr_policy,fisher_damping,batch_size,epsilon,eval_return_mean,eval_return_std,eval_return_median,eval_return_min,eval_return_max,eval_length_mean,eval_done_rate,eval_success_rate,score,mean_best_prob,min_best_prob,mean_entropy,best_actions,best_probs,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm,tail_objective_mean,tail_objective_std,tail_primal_mse_mean,tail_primal_mse_std,tail_dual_mse_mean,tail_dual_mse_std,tail_policy_grad_mean
True,0,42,89.42573285102844,500,False,,500,20,10,1024,12000,1,0.02,0.2,0.01,0.01,0.003,0.0001,128,0.4,-0.2497908537136854,0.24142873210389973,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.94,1.0,0.94,-0.31024225002113437,0.5509109792443327,0.25,0.9293027327459232,"[1, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.3073675504375207, 0.2869061815350978, 0.3608134491229406, 0.3475238761935006, 0.48637063756198995, 0.3851534779327568, 0.25, 0.25, 0.4256501249143764, 0.7626559226725502, 0.3960985129406962, 0.4332052214366465, 0.25, 0.8677537881770644, 0.9862738885946661, 0.390319154368725, 0.5665974572256812, 0.8980120582379659, 0.25, 0.9999999970247424, 0.6440010718163618, 0.9803179805417885, 0.9977541508423108, 0.9999999795309342, 0.25]",0.007088841212201497,0.007965608245521269,0.004383835166598858,0.011581120586971654,0.004734690084371776,0.007212050174102713,0.007133559578578047,3.529711449850268e-05,0.008030900743475343,5.0081048387991554e-05,0.0044867058244864805,0.00010638285603627748,0.01083039028573855
True,1,43,91.23549890518188,500,False,,500,20,10,1024,12000,1,0.01,0.1,0.003,0.01,0.01,0.0001,128,0.4,-0.2491635632994927,0.2500853900888864,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.81,1.0,0.93,-0.31191740407779295,0.7884174288512128,0.25,0.4105461642728181,"[1, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.6358549393884595, 0.976994368726154, 0.9986762724820707, 0.5512917914708635, 0.9998576248316018, 0.9985787604916188, 0.25, 0.25, 0.7935821855081631, 0.9999972660891665, 0.7200458866188479, 0.999673811029313, 0.25, 1.0, 0.9999987141697626, 0.7864771966945568, 0.9996412177384815, 1.0, 0.25, 1.0, 0.9997786576108448, 0.9999880330429597, 0.9999989953874548, 1.0, 0.25]",0.01737714123829052,0.018338011146673633,0.009608699083831121,0.019909021020790677,0.005458635799868447,0.01576408751477126,0.017235887329606136,0.0001443421606054183,0.018191145600203157,0.00016354245083803365,0.009552582705970241,0.00021244552750502538,0.02128910135086853
True,6,48,95.93132281303406,500,False,,500,20,10,1024,12000,1,0.05,0.0,0.01,0.003,0.01,0.01,512,0.15,-0.23464342898334573,0.21751728596988398,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.996666666666666,1.0,0.9633333333333334,-0.28907065411669347,0.44192540009952597,0.25,1.155403400156287,"[3, 3, 3, 3, 1, 0, 0, 0, 3, 1, 0, 2, 0, 3, 1, 1, 1, 2, 0, 1, 3, 3, 3, 3, 0]","[0.29449069425219454, 0.32825309111870526, 0.365527148761822, 0.3461487674778902, 0.41762778746994467, 0.2686204818339384, 0.25, 0.25, 0.4209753992147847, 0.6896483880009252, 0.27453366701355847, 0.27066106782327126, 0.25, 0.7979093819396459, 0.9102949024519235, 0.26840200566485245, 0.35733577310992604, 0.569804182290663, 0.25, 0.9987360943531511, 0.2834382327173447, 0.39717393704209564, 0.61541875841184, 0.92313524153967, 0.25]",0.004641732402981034,0.004641732402981034,0.002887480040973974,0.006090430235923766,0.0025036462228194157,0.004572527988595491,0.004429454454789233,7.367220639758718e-05,0.004429454454789233,7.367220639758718e-05,0.002567968325807327,0.00010513273481914396,0.00432596845303326
True,10,52,156.96080327033997,500,False,,500,20,10,1024,12000,2,0.05,0.1,0.03,0.003,0.01,0.01,256,0.4,-0.7410309696218736,0.27263131018258774,-0.8564204024616298,-1.0000000000000009,-0.04340619999999995,30.813333333333333,0.9733333333333334,0.9066666666666666,-0.8094756163757518,0.44319514222766654,0.25,1.1449538094115912,"[3, 0, 3, 3, 1, 0, 0, 0, 3, 1, 0, 2, 0, 3, 1, 0, 0, 2, 0, 1, 0, 3, 3, 3, 0]","[0.28834378446127024, 0.2594901534306631, 0.2698489483617548, 0.3213097872336277, 0.4792034472343622, 0.3414385444348671, 0.25, 0.25, 0.38636000623185923, 0.650734956011778, 0.3562667672065242, 0.31281528394847874, 0.25, 0.8610516754370563, 0.7812198241675484, 0.34626174777878865, 0.41484281851656984, 0.4459716694473601, 0.25, 0.9703166636783396, 0.26245447414435785, 0.3662055833881266, 0.7209804779717918, 0.9947619426065393, 0.25]",0.033454339245755166,0.03943455408487359,0.05980214839118421,0.03127288315962739,0.09122865697204725,0.02624660718617719,0.07060653086948014,0.014212249213873053,0.09800507271394931,0.0332794077281603,0.27398541844469154,0.24152287506603437,0.049115435566141744
True,13,55,162.39052867889404,500,False,,500,20,10,1024,12000,2,0.02,0.2,0.003,0.01,0.001,0.01,256,0.3,-0.25536977374215164,0.23574083553697692,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,10.033333333333333,1.0,0.9466666666666667,-0.31440364421260175,0.3311497465077578,0.25,1.327258467228563,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 0, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.2525687740680082, 0.25878371357296104, 0.2735895590002503, 0.27063484956255385, 0.2971367522027463, 0.26588748833301107, 0.25, 0.25, 0.2895120351582981, 0.3597816428928597, 0.26271395937060954, 0.25644690969764883, 0.25, 0.35050992406280307, 0.5719497405088215, 0.26983000345272695, 0.3065394579135268, 0.40314286022978285, 0.25, 0.77006970935777, 0.2777708952451005, 0.3702229312560651, 0.49988756382870386, 0.4217648929796986, 0.25]",0.010996385679402795,0.01160405953301632,0.0030383692680676275,0.012431990154249993,0.0025061530892426373,0.01577854646432785,0.011109053654279557,6.187951965089075e-05,0.011711573997439821,6.543604153476372e-05,0.0030126017158013272,2.691457617146058e-05,0.01288851346110206
True,4,46,162.70911765098572,500,False,,500,20,10,1024,12000,2,0.05,0.1,0.01,0.01,0.003,0.001,512,0.3,-0.24283188599622993,0.24132109581294756,-0.22515902200000004,-1.0000000000000004,-0.04340619999999995,9.766666666666667,1.0,0.94,-0.3032080631569976,0.4448486181020168,0.25,1.1319809060024355,"[1, 2, 3, 3, 1, 1, 0, 0, 3, 1, 1, 1, 0, 3, 1, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.26516645296046204, 0.2563122648740631, 0.25404472850760307, 0.2686924077850073, 0.29232701557210966, 0.286743267806464, 0.25, 0.25, 0.35875575872513266, 0.41090550771970935, 0.2994930169316233, 0.32947686299512574, 0.25, 0.46470808730809304, 0.6721953448363942, 0.31085830864827646, 0.509442836180605, 0.8443864312962753, 0.25, 0.9735576362852044, 0.4293737806543522, 0.734334580025227, 0.9111084873856274, 0.9993326760530631, 0.25]",0.007430734727859429,0.007850913546936372,0.00420178819076944,0.011835282184703899,0.0042945148229373955,0.006663849668424659,0.0073610823424104365,5.6620173672313486e-05,0.007793135972280708,5.70029240338037e-05,0.004320536298702707,7.340764225381465e-05,0.007548957628960035
True,15,57,165.8698205947876,500,False,,500,20,10,1024,12000,2,0.05,0.0,0.01,0.01,0.01,0.01,512,0.4,-0.2156791511448781,0.2173421083812382,-0.13906557999999997,-1.0000000000000004,-0.04340619999999995,9.786666666666667,1.0,0.96,-0.27005487939898426,0.4878854329931171,0.25,1.0805024734972042,"[3, 3, 3, 3, 1, 1, 0, 0, 3, 1, 1, 0, 0, 3, 1, 1, 1, 2, 0, 1, 3, 3, 3, 3, 0]","[0.27773602874851655, 0.3186251447079755, 0.3807636636412668, 0.3405483665276656, 0.5422270149975068, 0.26730105078693966, 0.25, 0.25, 0.6428377619018957, 0.8112739840540992, 0.27316564562687573, 0.25837965757779746, 0.25, 0.6843695361099995, 0.8876702278290276, 0.3074326478624545, 0.4900245077627328, 0.6703965385094683, 0.25, 0.9997033067683083, 0.3602718068588511, 0.5927946324290156, 0.8457459379809535, 0.9958683641465776, 0.25]",0.008305987159436827,0.008305987159436827,0.0050384024530944135,0.010413324161895766,0.0034802805205162205,0.007926509160908772,0.008222991210515222,7.057254482576759e-05,0.008222991210515222,7.057254482576759e-05,0.00501536726813279,6.0570275567676145e-05,0.0067277038748711215
True,7,49,166.98752450942993,500,False,,500,20,10,1024,12000,2,0.1,0.0,0.03,0.003,0.003,0.001,512,0.3,-0.752112769922983,0.27311376749994265,-0.8635993823385483,-1.0000000000000007,-0.04340619999999995,30.426666666666666,1.0,0.94,-0.8204326648320045,0.36184555959739967,0.25,1.2534544004174175,"[1, 2, 2, 2, 2, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 1, 1, 0, 1, 3, 3, 3, 3, 0]","[0.2525272431570064, 0.25441922752378104, 0.2598830299431663, 0.28119389328277705, 0.25829571642429033, 0.25055667902795964, 0.25, 0.25, 0.34079016460942313, 0.2897374394039522, 0.2539564870751806, 0.25302779944088116, 0.25, 0.6732187590698505, 0.4049219457977386, 0.26569718073765397, 0.29097821609204577, 0.4992552271835911, 0.25, 0.7968019407033559, 0.2762469703270062, 0.35801875615760814, 0.5894225952672201, 0.9471897187105027, 0.25]",0.0028604033998940533,0.0028604033998940533,0.0027035686754104684,0.0036335687222232484,0.006078993455440797,0.0021547000689832734,0.0028950650940164956,4.1948552746709886e-05,0.0028950650940164956,4.1948552746709886e-05,0.0025344580168153237,8.983217217007139e-05,0.004554953462434703
True,14,56,168.3240623474121,500,False,,500,20,10,1024,12000,2,0.08,0.0,0.01,0.003,0.001,0.01,512,0.3,-0.9999729628624573,8.240035231425656e-06,-0.9999734386011132,-0.9999734386011132,-0.9998307170043433,99.96666666666667,0.0033333333333333335,0.0033333333333333335,-1.0000245652529993,0.29661280517593075,0.25,1.3531256646650451,"[2, 2, 2, 2, 3, 2, 0, 0, 3, 0, 0, 2, 0, 3, 1, 0, 2, 1, 0, 1, 1, 3, 3, 3, 0]","[0.25651217228521994, 0.2582769360302487, 0.2693564252318064, 0.28971835127611156, 0.2600334802509581, 0.2545002683560746, 0.25, 0.25, 0.32128476394857086, 0.26285930451086115, 0.26133107898913327, 0.263945802073837, 0.25, 0.38013258865297433, 0.29585599080380626, 0.2629442103814233, 0.30195769639417985, 0.3809695348251142, 0.25, 0.3901038295259907, 0.2518845812308256, 0.26958968261572347, 0.42721246940845814, 0.5068509626069516, 0.25]",0.00658506376458264,0.00658506376458264,0.00269213585848962,0.007593842702520096,0.003626158383610744,0.006268819328089273,0.006649707073693622,3.178411272942185e-05,0.006649707073693622,3.178411272942185e-05,0.002744708932339628,4.0836836311819276e-05,0.008868797346449759
True,11,53,174.53695368766785,500,False,,500,20,10,1024,12000,2,0.1,0.1,0.01,0.003,0.001,0.01,1024,0.4,-0.9999734386011134,2.224156070299059e-16,-0.9999734386011132,-0.9999734386011132,-0.9999734386011132,100.0,0.0,0.0,-1.000007215321377,0.3112934346962609,0.25,1.34380726125772,"[2, 2, 2, 2, 2, 0, 0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0, 2, 0, 1, 1, 2, 3, 3, 0]","[0.25626616114491724, 0.26074424235685634, 0.2683815783697363, 0.31768512659779163, 0.2783239990728213, 0.26124058653097765, 0.25, 0.25, 0.36974183858560616, 0.2798394692203574, 0.2744948020932267, 0.2695282105930995, 0.25, 0.44323668010751477, 0.3927378540366629, 0.27416529328940265, 0.3294968629204033, 0.5232228667148356, 0.25, 0.45225409387666105, 0.25765832043949183, 0.287161451908282, 0.37798745905911824, 0.3581689704887602, 0.25]",0.00754990381990172,0.00789376499534654,0.0034386117544482064,0.007238268673390079,0.002637782438008496,0.007167896401454202,0.0076223376403075594,4.450765466490098e-05,0.007963721137114162,4.5700225240665894e-05,0.0034138349680660272,1.729744929240291e-05,0.008012505924331585
