ok,run_id,seed,seconds,episodes_completed,stopped_early,stop_reason,episodes,collect_per_episode,updates_per_episode,initial_collect_steps,max_buffer_size,tau,rollout_length,lambda_entropy,eta,lr_value,lr_rho,lr_policy,fisher_damping,batch_size,epsilon,eval_return_mean,eval_return_std,eval_return_median,eval_return_min,eval_return_max,eval_length_mean,eval_done_rate,eval_success_rate,score,mean_best_prob,min_best_prob,mean_entropy,best_actions,best_probs,last_objective,last_primal_mse,last_dual_mse,last_theta_grad_norm,last_beta_grad_norm,last_policy_grad_norm,tail_objective_mean,tail_objective_std,tail_primal_mse_mean,tail_primal_mse_std,tail_dual_mse_mean,tail_dual_mse_std
True,10,52,353.82011461257935,1200,False,,1200,20,10,1000,12000,30000.0,2,0.005,0.03,0.001,0.001,0.001,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.043748538999961416,0.9384144231928905,0.5290128594948134,0.14344281798943292,"[3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1]","[0.5290128594948134, 0.8321830541131482, 0.9643120869884192, 0.7869329978409632, 0.9999989293216879, 0.791594883083328, 0.9258212062129892, 0.9999996623906086, 0.9977596723674461, 0.9999999999999964, 0.8638242205569349, 0.9999999825164653, 0.9999979065516253, 0.9999999995068896, 1.0, 0.7776836105412703, 0.9999999995499342, 0.9999999999473099, 0.9999999999999563, 1.0, 0.9912516100648036, 0.9999917517508902, 0.9999999982234182, 0.9999962402204252, 0.999999908578939]",0.0548712160976697,0.05527894780994596,0.013591057075875247,0.011491189815060074,0.005169620488133708,0.05714928635029075,0.05491067589263519,5.102373071734383e-05,0.055317248094729404,5.36060424249816e-05,0.013552406736474103,0.00011328235616275791
True,9,51,430.93830037117004,1200,False,,1200,20,10,1000,12000,30000.0,2,0.02,0.03,0.001,0.001,0.001,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04366823892302074,0.8513864370417962,0.5222360628842392,0.3943232085873947,"[3, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 1]","[0.5222360628842392, 0.6766678435722311, 0.7021793787838922, 0.5648592691139961, 0.9323765447625719, 0.5787858823722228, 0.8218651435518061, 0.9942807590282634, 0.9997684700048735, 0.9136561804060682, 0.5340945408771175, 0.8124101918278415, 0.945921026999709, 0.996777897112448, 0.998731758740589, 0.7255420683445145, 0.9970207272105326, 0.9744892343597518, 0.8692733481821769, 0.9999175159148487, 0.8907666195153878, 0.9644895267108208, 0.9898164825114296, 0.8885361146823174, 0.9901983385752514]",0.030376660110382942,0.030682655913574778,0.010199860106394544,0.025125033543739878,0.009195263905610084,0.07384663501065337,0.030229741340286248,0.0001371851113320565,0.03053612049204224,0.00013791787433897567,0.010212638391866534,3.869828857068001e-05
True,2,44,454.5516803264618,1200,False,,1200,20,10,1000,12000,30000.0,3,0.02,0.03,0.001,0.001,0.001,0.001,512,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.0436049750570405,0.9453980950691776,0.5331918870197104,0.12615376345542006,"[3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3]","[0.5331918870197104, 0.9915282597281554, 0.9974252415539873, 0.6076077221704769, 0.9996000548688511, 0.9634159843748551, 0.9780908362699635, 0.999988238788292, 0.9999918956638838, 0.9910722222189184, 0.9572099755195932, 0.9978540590991892, 0.980826766735611, 0.9993226440370311, 0.999819786165343, 0.8073643963601043, 0.9998897820715724, 0.9737614584994089, 0.8744281350228932, 0.999569279346661, 0.9989949154915877, 0.9855098535818179, 0.9999932515544472, 0.9999999499946423, 0.9984957805924465]",0.050891497916069894,0.05140988373572671,0.01727952732189393,0.022281308664723366,0.011563299490237227,0.05159532326407183,0.05098039732820564,5.4382017557887736e-05,0.05149640349485707,5.334862188507539e-05,0.01720020555504752,4.606441596901765e-05
True,11,53,499.12703371047974,1200,False,,1200,20,10,1000,12000,30000.0,2,0.02,0.05,0.003,0.001,0.003,0.001,512,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04358579528450781,0.9312072974466514,0.5408649609385066,0.14237824141827393,"[1, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.5644277538533352, 0.9904122784598071, 0.9987171069075605, 0.8258748081449698, 0.9991809312613563, 0.9916596253953341, 0.997581501462007, 0.9997376511359671, 0.9938140423139926, 0.964547800387549, 0.9990078756187889, 0.9997841813700056, 0.5408649609385066, 0.9594815903831669, 0.9999997593964759, 0.8498216135719727, 0.999987643349556, 0.9999982909484434, 0.9984839004065719, 0.9999999978624756, 0.9995210295753076, 0.9842757460290025, 0.9999981650863552, 0.9999999499021367, 0.6230042324056397]",0.0417242780496769,0.042377691380948844,0.013068266625438866,0.021782106305550903,0.008271399893456705,0.047874855099682596,0.04181569231255425,6.493143075295306e-05,0.04246822324484386,6.870542511281293e-05,0.013050618645792099,0.00011287480756790335
True,8,50,501.8070704936981,1200,False,,1200,20,10,1000,12000,30000.0,2,0.01,0.01,0.001,0.001,0.001,0.001,256,0.25,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04365451728770671,0.7941323253762771,0.314767226322654,0.49342889119490624,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 3, 3, 3]","[0.3957754952323682, 0.47562512894744613, 0.314767226322654, 0.5193512315517064, 0.5629302269347854, 0.5161398731277321, 0.7700794176169901, 0.9226685681242932, 0.9414408186868958, 0.799058090815943, 0.5138045198743458, 0.9080430418134279, 0.9580253174031026, 0.939638133425348, 0.9932661287127614, 0.5970652052311067, 0.9998438036148934, 0.9996776765696527, 0.9709044563674384, 0.9805848281307712, 0.8833813705960076, 0.9006449372286955, 0.9993725211002827, 0.9999666837081536, 0.9912534332701255]",0.034840038583130555,0.034919763684749174,0.007972510161862099,0.014193381911760656,0.008454717083539042,0.10097754333692908,0.03440244475830489,0.00032393707596196355,0.03448060761747436,0.00032482616928435873,0.00781628591694713,9.812999855889088e-05
True,6,48,569.0242977142334,1200,False,,1200,20,10,1000,12000,30000.0,3,0.01,0.01,0.003,0.001,0.003,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04395131769898911,0.9629401211355554,0.5502554457230442,0.06999491871093409,"[1, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3]","[0.5502554457230442, 0.9975826778709692, 0.9996608817695551, 0.6361295627719701, 0.9920115639810488, 0.8994128253969234, 0.9999999999999889, 1.0, 1.0, 0.999999998063247, 0.9997525139320046, 0.9999999999997142, 0.9993718026528, 0.9999975880410299, 1.0, 0.9993317909565653, 1.0, 0.9999999999999976, 1.0, 1.0, 0.9999963772338233, 0.9999999999962021, 1.0, 1.0, 1.0]",0.08737639885619351,0.08754646345927654,0.017006460308302728,0.05769552753128066,0.0181643741440657,0.06925616220464634,0.08748968870380995,0.000297032995501029,0.08766157734778789,0.0002969468223206709,0.017188864397793997,0.00016848955403664774
True,5,47,599.0478157997131,1200,False,,1200,20,10,1000,12000,30000.0,3,0.02,0.03,0.001,0.001,0.003,0.001,512,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04362968193356961,0.9726331584970658,0.722079906949944,0.08607309711090343,"[3, 3, 3, 3, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 1]","[0.9995387329901355, 0.991780839611958, 0.9997634529653063, 0.9967551319323094, 0.999943698472807, 0.8165305269921225, 0.9999911982325844, 0.9999996286394666, 0.9781748774768858, 0.9870456367762629, 0.9956389237461751, 0.9499629816704411, 0.9982851905370468, 0.9998677442646373, 0.9999990783820764, 0.722079906949944, 0.998730612772853, 0.9994810162692039, 0.997630803671927, 0.9999999999965838, 0.9832707098382557, 0.9046848968439604, 0.9999891778182785, 0.996684195583824, 0.9999999999916014]",0.059585066499558255,0.060049835014286644,0.01549228382427973,0.012610450180670084,0.0069772808380096935,0.056327797619932674,0.059353118885413114,0.00017283262136600844,0.05982015000198518,0.00017239492206534663,0.015567703885735413,3.86956808972619e-05
True,0,42,634.7079479694366,1200,False,,1200,20,10,1000,12000,30000.0,3,0.01,0.01,0.001,0.001,0.001,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04387137849644261,0.9318873950736907,0.5279292505454283,0.13872632817390895,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 1, 3, 1, 3, 3, 3, 3, 3]","[0.7587432556581828, 0.999892674594531, 0.9999554517257747, 0.5279292505454283, 0.9999841551733393, 0.9875624672101944, 0.9994358742876729, 0.9999999992565873, 0.9999993411340427, 0.9999994901090599, 0.9830560291884336, 0.9999953614058351, 0.646544045393592, 0.6042302176268152, 0.9999999999999212, 0.9500701013556988, 0.9999996215427245, 0.8896739762907765, 0.950121870395355, 0.9999999999979539, 0.999998570249995, 0.9999999863303153, 1.0, 1.0, 0.9999931373700358]",0.06547882461442757,0.06563137038184366,0.015254576741609828,0.03314127649860489,0.010112114981567975,0.08271366648538389,0.06575805973169113,0.0003062097168943661,0.06591080165409732,0.0003062438208408499,0.015274192240621256,3.5879070852486414e-05
True,4,46,638.5919990539551,1200,False,,1200,20,10,1000,12000,30000.0,3,0.01,0.03,0.001,0.001,0.003,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04381270624225125,0.9798722188055464,0.5488802685104837,0.038048093382190375,"[3, 3, 3, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9999999539462311, 0.9999342675113961, 0.9999978242876826, 0.9999811018056253, 0.9999999898909792, 0.5488802685104837, 0.9825219788851453, 1.0, 1.0, 0.9999999934209354, 0.9917579145785544, 0.9999999982165355, 0.9999999999146629, 0.9999999999997056, 1.0, 0.9999592192411728, 0.9747648697908864, 0.9990081648517403, 1.0, 1.0, 0.9999999254999989, 0.999999999786926, 1.0, 1.0, 1.0]",0.06226028305392325,0.0626408571962637,0.012685804744681494,0.014837914046965913,0.01516478162511006,0.041648148674349995,0.06203500505344912,0.00026080725468911024,0.06241465452099632,0.0002577096676457681,0.012654982251573956,0.00011924644836315492
True,1,43,641.9929008483887,1200,False,,1200,20,10,1000,12000,30000.0,3,0.01,0.03,0.001,0.001,0.001,0.001,256,0.3,-0.04340619999999995,0.0,-0.04340619999999995,-0.04340619999999995,-0.04340619999999995,8.0,1.0,1.0,-0.04379409347730055,0.9219750906515171,0.5838682887196699,0.1613395208519148,"[1, 3, 3, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 3, 3, 3, 3, 3, 3]","[0.9993846335572553, 0.9565502589799648, 0.5838682887196699, 0.9979755349582847, 0.6347364627944319, 0.9732332596760319, 0.9995934884724931, 0.99998719024227, 0.981758727446464, 0.9901298607319011, 0.9694709585823841, 0.9999838381276318, 0.9954600171874015, 0.950676578532397, 0.9999973715835851, 0.6414586199420753, 0.9999999240505049, 0.6062669150515188, 0.9999998550848196, 0.7688462609406633, 0.9999992645953172, 0.9999999570308632, 1.0, 1.0, 1.0]",0.06575429529135099,0.06614088117984859,0.012886196283253614,0.014075342963946292,0.008505529303274745,0.06043523227458165,0.06562523849899188,0.000317491137081154,0.06601197052221183,0.00031741157788544417,0.012891067440664889,2.9803103661658944e-05
