problem,gamma,dataset_path,beta_update,beta_projection_radius,T,alpha,eta,rho,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,source_run_idx,source_greedy_success_rate,source_solver_success_rate,source_greedy_avg_reward,source_solver_avg_reward,seed,num_trajectories,max_steps,checkpoint_count,step,checkpoint_idx,avg_reward,reward_std,reward_sem,success_rate,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,device,status,error,train_elapsed_seconds,elapsed_seconds,run_idx
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1650,11,0.9023,0.11307327560730547,0.011307327560730548,0.99,-0.11944319927100173,-0.41030111449321716,0.04555600766348168,-0.12759308501773697,95.23366792849933,0.002564960670643654,0.33472559275738706,0.003254376114482464,cpu,ok,,21.999293923028745,22.800551298016217,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1800,12,0.9142,0.021981626854987748,0.002198162685498775,1.0,-0.12365492788963514,-0.49867861757103593,0.05634415905532622,-0.13268707845586583,103.1265064148426,0.002470582659446796,0.32373272445357704,0.00292711465071634,cpu,ok,,21.999293923028745,22.851280761009548,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,1950,13,0.9165000000000001,0.01737146156106837,0.001737146156106837,1.0,-0.12483591597351644,-0.607463436938721,0.07016302569904499,-0.13477334393314436,111.36870256163027,0.003509928335491928,0.3391044259023909,0.002800623988900294,cpu,ok,,21.999293923028745,22.901173737016506,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2100,14,0.9157000000000001,0.021426642529827424,0.0021426642529827422,1.0,-0.1252117557121188,-0.7296162619398251,0.0847869796526091,-0.1360420773972922,121.18011120606452,0.0013299372389769725,0.3687137728656326,0.003394183588069865,cpu,ok,,21.999293923028745,22.95144974498544,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2250,15,0.9204000000000001,0.01825299200601689,0.0018252992006016892,1.0,-0.12451260670497677,-0.8680918429919249,0.1004854399642452,-0.13625675296757134,130.9821617214991,0.004412792779060588,0.4069071648750691,0.002878036218705456,cpu,ok,,21.999293923028745,22.999864018987864,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2400,16,0.9232,0.014275782983709828,0.0014275782983709827,1.0,-0.12075769581599742,-1.0210326724324046,0.11100426174470286,-0.13353271089177723,140.62632199850526,0.005619222251215584,0.40024148458846953,0.002610109431519669,cpu,ok,,21.999293923028745,23.052226255007554,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2550,17,0.9224,0.013417913550191153,0.0013417913550191154,1.0,-0.1212408262294789,-1.1508775772252977,0.10442756902252531,-0.13499959033577136,149.36706806032777,0.005991176298772699,0.33002232170450985,0.0029185310490671907,cpu,ok,,21.999293923028745,23.0999898929731,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2700,18,0.9240999999999999,0.009221735413706215,0.0009221735413706215,1.0,-0.12022590459938495,-1.2802642228868342,0.10739643807323734,-0.13479814959378283,157.8517645151294,0.007164266571091758,0.2890268818535786,0.003120464834289422,cpu,ok,,21.999293923028745,23.14699732401641,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,2850,19,0.9259000000000001,0.007260659179246136,0.0007260659179246136,1.0,-0.12299277559552874,-1.4248809686147716,0.09399541473153214,-0.13852266926497714,165.43379043856663,0.006747775126047712,0.270104810767036,0.004567294701280871,cpu,ok,,21.999293923028745,23.1933513910044,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_full,,3000,0.001,3e-05,0.1,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,527,1.0,1.0,0.9300000000000002,0.9271,42,100,20,20,3000,20,0.9271,0.005182526976156075,0.0005182526976156075,1.0,-0.13086383046788272,-1.5380032514812525,0.08598909870840163,-0.14753345303745852,170.86648471161743,0.005736551388436837,0.2929226019920336,0.00530267400682851,cpu,ok,,21.999293923028745,23.239245043019764,1
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,150,1,-0.1484,0.2261523576903166,0.022615235769031662,0.05,-0.014617287306400495,-0.01517048519683363,0.0003826524110452029,-0.014889500578627615,8.145427127308048,0.00011635533689897885,0.05426188118631591,0.00498286578524145,cpu,ok,,26.667575737985317,26.799073141999543,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,300,2,-0.1058,0.3011331461615803,0.030113314616158033,0.09,-0.02917637878732244,-0.030640946850118943,0.0008235003532097092,-0.030014633583459793,18.477562985602415,0.00021607297566741593,0.06595397987934304,0.004954268841310517,cpu,ok,,26.667575737985317,26.888195184990764,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,450,3,9.999999999996401e-05,0.4155159747260329,0.04155159747260329,0.19,-0.04353713636203631,-0.04748137804619169,0.001462681781160965,-0.044771239494003294,30.744897068044242,8.442653332846586e-05,0.13954285164312852,0.0049165158431127036,cpu,ok,,26.667575737985317,26.975757625012193,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,600,4,0.23060000000000003,0.5304749539494554,0.05304749539494554,0.4,-0.05742672061616398,-0.06624811549572986,0.002573035966468614,-0.0593489624225458,42.43983273572358,0.0006853571988346423,0.09250684052292928,0.004868601866331436,cpu,ok,,26.667575737985317,27.056520566984545,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,750,5,0.4193999999999999,0.5411824315722233,0.054118243157222336,0.57,-0.07012216067211971,-0.0888199146286387,0.004877533549337714,-0.07277083725203765,50.87445136352774,0.0004919588299869399,0.18940087181673979,0.0047899108611725,cpu,ok,,26.667575737985317,27.130999018030707,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,900,6,0.6406999999999999,0.46254948957168934,0.04625494895716893,0.77,-0.0814675917620422,-0.11764906026390454,0.008532038243325947,-0.08502418292255878,57.803115326464805,0.0010907650588643913,0.19727877037429356,0.004654457842225415,cpu,ok,,26.667575737985317,27.198092976992484,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1050,7,0.8078,0.3002341846901609,0.03002341846901609,0.92,-0.09178627663274197,-0.15332363802516183,0.013213285746142795,-0.09627416822803282,64.91580067557359,0.0010827360925685506,0.2559524936533038,0.004452768919596045,cpu,ok,,26.667575737985317,27.25959028903162,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1200,8,0.8697999999999998,0.19083008466203966,0.019083008466203966,0.97,-0.10095808464273721,-0.19873317471873322,0.019041404284371944,-0.10634986905912672,72.98641698625646,0.001082062845873087,0.24456775657310498,0.0042193175051373,cpu,ok,,26.667575737985317,27.316817296028603,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1350,9,0.8875,0.15752104236538936,0.015752104236538937,0.98,-0.10831353729691762,-0.2563598308618091,0.026685869295101368,-0.11454775712033752,80.98246790820517,0.001750559332858083,0.26388465847359666,0.0039849197978379216,cpu,ok,,26.667575737985317,27.371111328015104,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1500,10,0.8892,0.15758710914823257,0.015758710914823258,0.98,-0.11521311604203478,-0.32555170520530397,0.034786196889312296,-0.12228859095856366,87.55443362335606,0.0019206089552623032,0.30992247676512413,0.003746712334490233,cpu,ok,,26.667575737985317,27.42481207603123,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1650,11,0.9019000000000001,0.11317899473172949,0.011317899473172948,0.99,-0.12001525703716825,-0.41089845526175717,0.044983949990591805,-0.12811692837481492,94.81220726165535,0.0026344661175736524,0.3326881186105735,0.0032057504510650866,cpu,ok,,26.667575737985317,27.476927759998944,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1800,12,0.9133999999999999,0.02179889720127875,0.0021798897201278753,1.0,-0.12474929335555343,-0.4972967135907003,0.05524979634982991,-0.13375650165048283,103.60923938342457,0.00364086162349795,0.3093485493412025,0.0029222710890875058,cpu,ok,,26.667575737985317,27.52868759102421,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,1950,13,0.9181999999999999,0.016415070680766034,0.0016415070680766033,1.0,-0.12654366606400763,-0.609765706417993,0.06845529171609739,-0.13635234097688514,112.97536630159182,0.003477496548071143,0.3239059874892304,0.002904642005666273,cpu,ok,,26.667575737985317,27.58301202399889,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2100,14,0.9172,0.01959591794226541,0.001959591794226541,1.0,-0.12822318507167968,-0.7296279989736214,0.08177560572580972,-0.13894145812775432,123.01932438514389,0.0010135863235356639,0.3568080638896683,0.00340106250422615,cpu,ok,,26.667575737985317,27.633089680981357,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2250,15,0.9171,0.02080671026181677,0.0020806710261816767,1.0,-0.12770859762315187,-0.8682105294275227,0.09728983201568489,-0.13932095679108197,133.0279366136307,0.004586676924379347,0.3941044053853132,0.002554467749101989,cpu,ok,,26.667575737985317,27.683452191005927,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2400,16,0.9213000000000001,0.015995895938292613,0.0015995895938292614,1.0,-0.12464772131915086,-1.028627322252152,0.11493436168173504,-0.1372398099703562,143.41791449198118,0.005740297587578569,0.41554767898667844,0.0026059946705698617,cpu,ok,,26.667575737985317,27.73229417699622,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2550,17,0.9214000000000001,0.016637550324734716,0.0016637550324734717,1.0,-0.12353802083261539,-1.1685796771576022,0.11868778075321645,-0.13708582013594608,152.5422860684198,0.0069672454985262805,0.3520814647510437,0.002757525322817687,cpu,ok,,26.667575737985317,27.780847862013616,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2700,18,0.9247999999999998,0.009154123649917514,0.0009154123649917514,1.0,-0.12037453498288461,-1.3179819847173184,0.11708096613161087,-0.134774027892774,160.07209351933793,0.006849168945532247,0.325280412352805,0.0031161548019595234,cpu,ok,,26.667575737985317,27.82811916602077,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,2850,19,0.924,0.010347497623614439,0.001034749762361444,1.0,-0.12276497442741838,-1.4603653403770132,0.10950389703441216,-0.1382176497279282,166.38674226623326,0.0056091969249392765,0.29179015729619595,0.004803707893310488,cpu,ok,,26.667575737985317,27.875613401993178,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,fogas_diag,,3000,0.001,3e-05,0.5,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,67,1.0,1.0,0.9300000000000002,0.9272,42,100,20,20,3000,20,0.9272000000000001,0.005333333333333293,0.0005333333333333293,1.0,-0.12956849509199647,-1.5718858118044376,0.0905867712526625,-0.14620033070060454,172.20849305100128,0.005987538453585738,0.27702773986401186,0.005297794854985505,cpu,ok,,26.667575737985317,27.922023197985254,7
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,150,1,-0.1585,0.2044276316099577,0.020442763160995768,0.04,-0.014750844255981672,-0.015101168864342417,0.0002490954409698257,-0.014797240910211017,8.044509217974342,3.366236493168744e-05,0.1097720306689389,0.004978981274108072,cpu,ok,,22.401462585025,22.530617790005635,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,300,2,0.008099999999999967,0.41851516029164276,0.041851516029164273,0.2,-0.029479207605101383,-0.030672441109944514,0.0005206714060585076,-0.030057901075223607,17.442622251577085,8.53797186191796e-05,0.08619380216517172,0.004944508384353481,cpu,ok,,22.401462585025,22.61963355197804,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,450,3,0.4184999999999999,0.529662318573987,0.0529662318573987,0.58,-0.044158306793927536,-0.04746683926879812,0.0008415109222667944,-0.04438662889473163,28.85908064061143,0.00017259322777882097,0.06388678287658005,0.004889601609590972,cpu,ok,,22.401462585025,22.698336486995686,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,600,4,0.7522,0.3546333431599573,0.03546333431599573,0.88,-0.05814177623564778,-0.06721718438548793,0.0018579792213511343,-0.059359117826213746,40.6770906404594,0.0006675698223041583,0.09036906472397833,0.004808831414758258,cpu,ok,,22.401462585025,22.766056952008512,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,750,5,0.8749000000000001,0.1565569893332486,0.01565569893332486,0.98,-0.06996111625516001,-0.09288630175171982,0.005038575292178482,-0.07154134276199048,51.41547476027571,0.0008039522769589884,0.14714759323350723,0.004688082129464029,cpu,ok,,22.401462585025,22.825664607982617,2
deterministic,0.99,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,projected_gradient,0.25,3000,0.001,0.001,0.03,1e-07,0.001,10,adam,exact,4,normal,reg_fixed,adam,warm,False,234,1.0,1.0,0.9300000000000002,0.9123,42,100,20,20,900,6,0.9059000000000001,0.023098165566236038,0.0023098165566236037,1.0,-0.07993529723927315,-0.13190045801608868,0.010064327479259247,-0.0831548286791541,59.642696924864424,0.0010657805059134367,0.17666368865539311,0.004525319445357397,cpu,ok,,22.401462585025,22.880889628024306,2
