problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,zero,,300.0,0.001,10,0.03,3000,1,1,0,180.90342362702359,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,1,1,0,172.44271881197346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,1.0,0.001,10,0.03,3000,1,1,0,184.50284773495514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,3.0,0.001,10,0.03,3000,1,1,0,181.00835213100072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_baseline,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,1,1,0,159.83369703503558,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_baseline,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,1,1,0,179.96644835599,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,1,1,0,157.57438087603077,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,20,0.03,3000,1,1,0,171.04822707199492,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9189000000000002,0.9189000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,40,0.03,3000,1,1,0,177.77911660901736,0.95,0.95,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8338000000000001,0.8338000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,80,0.03,3000,1,1,0,177.34272145305295,0.88,0.88,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7539,0.7539,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,1,0.03,3000,1,1,0,178.5039777730126,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.1184,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,2,0.03,3000,1,1,0,180.75438805902377,0.26,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07409999999999996,0.07409999999999996,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,5,0.03,3000,1,1,0,179.813575053995,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001500000000000036,-0.001500000000000036,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,1,1,0,185.43207466899185,0.11,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08520000000000001,-0.08520000000000001,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,20,0.03,3000,1,1,0,187.44462382502388,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1796,-0.1796,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,1,0.03,3000,1,1,0,175.55613222299144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,2,0.03,3000,1,1,0,171.04382262995932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,5,0.03,3000,1,1,0,176.88865893601906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,40,0.03,3000,1,1,0,154.28719635796733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,80,0.03,3000,1,1,0,204.60047687002225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-09,,0.001,10,0.03,3000,1,1,0,91.98503914900357,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9243000000000002,0.9243000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-09,,0.001,10,0.03,3000,1,1,0,159.9125819359906,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9229000000000002,0.9229000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-08,,0.001,10,0.03,3000,1,1,0,157.8262081440189,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9242000000000001,0.9242000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-08,,0.001,10,0.03,3000,1,1,0,160.36770436901134,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9235000000000001,0.9235000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,1,1,0,164.0901705089491,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247000000000001,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-07,,0.001,10,0.03,3000,1,1,0,164.22642597201047,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9258000000000002,0.9258000000000002,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-05,,0.001,10,0.03,3000,1,1,0,162.8700208599912,0.82,0.82,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7187999999999998,0.7187999999999998,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,0.0001,,0.001,10,0.03,3000,1,1,0,79.80017731402768,0.58,0.58,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43449999999999983,0.43449999999999983,0.0,0.0,0.0,0.9300000000000002,0.9300000000000002,0.0,0.0,0.0
