critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,intended_prob,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction,run_idx
closed_form,0.0001,0.01,1e-08,500,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,7.655956361966673,0.0,-0.9948462247926807,-1.002928433697528,2.517761692028956,0.0,-0.9948462247926807,-1.0000000000000002,2.5561417180306263,-0.10076448227534542,0.10076448227534542,0.034359526783000235,-0.09454008771722443,50.773933174459636,32.448430956598216,0.0012385181404489002,7.654808121719309e-05,0.0003177236945612278,-0.0002796475038056111,0.0011284793250545143,0.10200000000000001,141
closed_form,0.0003,0.01,1e-10,500,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:1,ok,,8.300795782997739,0.0,-0.9948462247926807,-1.0015791606543722,1.2404458821741926,0.0,-0.9948462247926807,-1.0000000000000002,1.267838814213426,-0.10075877225403569,0.10075877225403569,-0.09959844520357967,-0.0998376494461064,37.88436953626587,21.70982370859754,0.00027745828754605664,0.0002996896310495857,0.0005228683615442957,0.0001094242573408781,0.0009507350123820987,0.10200000000000001,381
closed_form,0.0003,0.03,1e-10,500,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:4,ok,,8.921025261981413,0.0,-0.9948462247926807,-1.0004038803933146,1.4047144863198966,0.0,-0.9948462247926807,-1.0000000000000002,1.380810628805826,-0.10052071519164901,0.10052071519164901,-0.09579177028266339,-0.09605551988830073,39.78061882153162,31.075561969031817,7.450655209870902e-05,0.0002997652534506136,0.0004456447316444391,-5.49849908484098e-05,0.0017217864661126922,0.10200000000000001,416
closed_form,0.0003,0.1,1e-10,500,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:7,ok,,9.112413060036488,0.0,-0.9948462247926807,-1.0000875606316793,1.3798727705263463,0.0,-0.9948462247926807,-1.0000000000000002,1.380810628805826,-0.10037038506422886,0.10037038506422886,-0.10009116277608301,-0.10036574220944502,40.58911923375628,43.02721187751254,1.6217555413791352e-05,0.000299782559036636,0.0003563427694780018,0.0002949106570123725,0.0003642278386257308,0.10200000000000001,451
closed_form,0.0001,0.03,1e-10,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,9.430650333990343,0.0,-0.9948462247926807,-1.0000988575569025,1.4932880091587588,0.0,-0.9948462247926807,-1.0000000000000002,1.493782443398226,-0.10018264008994307,0.10018264008994307,-0.09922203551513716,-0.10017699972408654,43.702727808442134,41.49671579686306,2.0155998423055765e-05,9.978344789964802e-05,0.00015672896398700255,9.797619490053408e-05,0.0001613978830773684,0.10200000000000001,172
closed_form,0.0001,0.1,1e-08,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,9.525684924970847,0.0,-0.9948462247926807,-1.000025383385395,2.555915461463935,0.0,-0.9948462247926807,-1.0000000000000002,2.5561417180306263,-0.10036577963277227,0.10036577963277227,0.03539023266023879,-0.1003657334682289,52.10680687366434,64.77721233099851,6.524204649469763e-06,7.697365192277132e-05,0.0002854274534088016,7.676839375030677e-05,0.0002854988485533151,0.10200000000000001,212
closed_form,0.0003,0.03,1e-08,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,9.555876960977912,0.0,-0.9948462247926807,-1.000147102956299,2.130009629177143,0.0,-0.9948462247926807,-1.0000000000000002,2.130988918030626,-0.10065780812743104,0.10065780812743104,-0.05898933933368904,-0.10065730268235376,50.00077800314594,49.697803786375694,3.622710958259587e-05,0.0002775621996945751,0.0005625563827432618,0.00027532989393345655,0.0005639206392173097,0.10200000000000001,422
closed_form,0.0003,0.1,1e-06,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:2,ok,,9.55631746002473,0.0,-0.9948462247926807,-1.0001709408699768,2.7684609220713456,0.0,-0.9948462247926807,-1.0000000000000002,2.768718118030626,0.023737663447912574,-0.023737663447912574,4.444263852932543,0.02373902219130017,51.50063007813347,66.18099940183744,0.00019108726767852404,-0.001973706599810989,0.008475508286982321,-0.001973859562804488,0.008475520662580567,0.10200000000000001,461
closed_form,0.0003,0.1,1e-10,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:0,ok,,9.577475137019064,0.0,-0.9948462247926807,-1.0000420305754152,1.3805680912369613,0.0,-0.9948462247926807,-1.0000000000000002,1.380810628805826,-0.10036175190293858,0.10036175190293858,-0.10006635739286694,-0.1003573142878981,41.78206996053341,48.79340039499906,1.0813111946993547e-05,0.00029978547077078244,0.00035290084117190016,0.0002971901495393953,0.0003588182603397697,0.10200000000000001,452
closed_form,0.0001,0.1,1e-10,1000,,,,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/10grid_tabular_new.csv,100,50,42,cuda:3,ok,,9.613025190017652,0.0,-0.9948462247926807,-1.0000409021184997,1.4936710512273974,0.0,-0.9948462247926807,-1.0000000000000002,1.493782443398226,-0.10013742692101092,0.10013742692101092,-0.09880772001835847,-0.09980257379533385,44.60613807482942,52.658606753109396,1.1656521120980684e-05,9.978546315985272e-05,0.00012911904510757782,7.963590016677903e-05,0.00029539396805080875,0.10200000000000001,208
