problem,beta_update,count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std
deterministic,fogas_diag,79,79,0,183.66686329828306,0.79,0.3159493670886076,0.2585686388431204,1.0,0.24050632911392406,0.43012192288835077,0.67,0.14263164556962019,0.28814742422635503,0.9300000000000002,0.07177215189873422,0.4860377728638364
deterministic,fogas_full,297,297,0,453.6249550593282,0.79,0.3595622895622895,0.3073098351653178,1.0,0.4107744107744108,0.49280472081392734,0.67,0.19612727272727268,0.34357242444864994,0.9300000000000002,0.26417508417508423,0.556869334519738
