run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
50,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
51,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
52,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
53,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
54,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
55,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
56,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
57,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
58,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
59,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
60,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
61,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
62,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
63,grid,0.8010638064134422,0.0001,0.01,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
64,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
65,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
66,grid,0.8010638064134422,0.0001,0.1,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
67,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
68,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
69,grid,0.8010638064134422,0.0001,0.1,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
70,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
71,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
72,grid,0.8010638064134422,0.0001,0.1,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
73,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
74,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
75,grid,0.8010638064134422,0.0001,0.5,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
76,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
77,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
78,grid,0.8010638064134422,0.0001,0.5,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
79,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
80,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
81,grid,0.8010638064134422,0.0001,0.5,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
82,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
83,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
84,grid,0.8010638064134422,0.0001,1.0,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
85,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
86,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
87,grid,0.8010638064134422,0.0001,1.0,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
88,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
89,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
90,grid,0.8010638064134422,0.0001,1.0,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
91,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
92,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
93,grid,0.8010638064134422,0.0001,0.001,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
94,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
95,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.1,0.2,0.8010638064134422
96,grid,0.8010638064134422,0.0001,0.001,0.001,2000,1.0,clipped,0.2,0.2,0.8010638064134422
97,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.0,0.4,0.8010638064134422
98,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.1,0.4,0.8010638064134422
99,grid,0.8010638064134422,0.0001,0.001,0.001,2000,2.0,clipped,0.2,0.4,0.8010638064134422
100,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.0,0.1,0.8010638064134422
101,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.1,0.1,0.8010638064134422
102,grid,0.8010638064134422,0.0001,0.01,0.001,2000,0.5,clipped,0.2,0.1,0.8010638064134422
103,grid,0.8010638064134422,0.0001,0.01,0.001,2000,1.0,clipped,0.0,0.2,0.8010638064134422
