sweep_family,problem,beta_update,T,alpha,eta,rho,beta_projection_radius,theta_lambda,theta_lr,theta_inner_steps,policy_optimizer,policy_gradient,reinforce_samples,state_weight_update,dataset_path,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,num_trajectories,max_steps,seed,device,status,error,solver_success_rate,greedy_success_rate,solver_avg_reward,greedy_avg_reward,elapsed_seconds,run_idx
eta_rho_sweep,deterministic,fogas_full,3000,0.001,3e-05,0.003,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9263000000000001,0.9300000000000002,161.95581262698397,522
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.003,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9262999999999999,0.9300000000000002,173.78193984698737,86
eta_rho_sweep,deterministic,fogas_full,3000,0.001,3e-05,1.0,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9262,0.9300000000000002,141.85053218202665,526
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.2,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9262,0.9300000000000002,173.09184972505318,82
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.3,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9261000000000001,0.9300000000000002,140.95924230199307,538
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9261000000000001,0.9300000000000002,169.024506938993,57
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.001,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9261000000000001,0.9300000000000002,171.21507443999872,71
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.3,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9259000000000001,0.9300000000000002,168.93814191402635,56
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.003,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9259000000000001,0.9300000000000002,172.2144715420436,78
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.05,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,168.1954552019597,54
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.1,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,172.25559399701888,79
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.005,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9258000000000002,0.9300000000000002,175.9975766420248,92
main_ablation,deterministic,fogas_diag,3000,0.001,0.0003,0.05,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9257000000000001,0.9300000000000002,165.54840771795716,43
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.2,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9257000000000001,0.9300000000000002,166.87203850102378,47
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.3,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9257000000000001,0.9300000000000002,178.39050848805346,98
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.003,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9256,0.9300000000000002,150.20954511099262,537
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.02,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9256,0.9300000000000002,163.25621078698896,40
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.15,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9256,0.9300000000000002,163.68819104798604,41
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.03,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9256,0.9300000000000002,177.22259871900314,95
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0001,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255000000000001,0.9300000000000002,141.0787991519901,532
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.1,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255000000000001,0.9300000000000002,160.66316152596846,37
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.075,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255000000000001,0.9300000000000002,168.18903159798356,53
main_ablation,deterministic,fogas_diag,3000,0.001,3e-05,0.15,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255000000000001,0.9300000000000002,192.4640583160217,120
main_ablation,deterministic,fogas_diag,3000,0.001,0.0001,0.03,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255,0.9300000000000002,126.87516659800895,1
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.02,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9255,0.9300000000000002,186.4262771999929,116
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.01,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9254000000000001,0.9300000000000002,173.64051688095788,84
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.5,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9253999999999999,0.9300000000000002,170.33390985499136,65
eta_rho_sweep,deterministic,fogas_full,3000,0.001,0.0003,0.1,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9252000000000001,0.9300000000000002,148.75075547397137,567
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.075,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9252000000000001,0.9300000000000002,171.66549569298513,74
main_ablation,deterministic,fogas_diag,3000,0.001,0.0003,0.1,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9251,0.9300000000000002,169.73507739999332,60
main_ablation,deterministic,fogas_diag,3000,0.001,0.0002,0.005,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9251,0.9300000000000002,177.06153369200183,94
main_ablation,deterministic,fogas_diag,3000,0.001,5e-05,0.2,,1e-07,0.001,10,adam,exact,4,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid.csv,reg_fixed,adam,warm,False,100,20,42,cpu,ok,,1.0,1.0,0.9251,0.9300000000000002,196.05952116299886,121
