problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,checkpoint_step,count,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,400,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17919999999999997,-0.17919999999999997,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,420,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17919999999999997,-0.17919999999999997,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,440,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17919999999999997,-0.17919999999999997,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,460,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17919999999999997,-0.17919999999999997,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,480,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17939999999999998,-0.17939999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,500,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17939999999999998,-0.17939999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,520,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17939999999999998,-0.17939999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,540,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,560,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,580,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,600,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,620,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,640,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,660,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,680,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,700,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,720,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,740,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,760,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,780,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,800,1,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18969999999999998,-0.18969999999999998,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,projection_dtheta,projection,warm,,0.3,0.001,10,0.03,3000,820,1,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1789,-0.1789,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
