alpha,eta,rho,fisher_damping,T,theta_lr,D_theta,theta_mode,theta_optimizer,theta_inner_steps,theta_start_mode,theta_include_beta_cov,d_theta_scale,beta_update,policy_optimizer,policy_gradient,cg_iters,cg_tol,state_weight_update,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0002,0.0001,0.001,0.0001,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,86.84204101376235,0.91,-0.7911113820161333,1.0183720014597577,1.8431591623790675,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08423884216394341,-0.08402447512989171,4.809377438514384e-06,-0.08426767625994235,5.0,1.0002478651508972e-07,0.0029733515268502235,0.049877268157007146,52
0.0002,0.0001,0.001,0.001,1600,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,82.11541019799188,0.91,-0.7911113820161333,1.0183716828023868,1.8431592731370967,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08394115946890827,-0.08367043154611771,-1.2925601892938673e-06,-0.08397375447062758,5.0,2.161507655926824e-05,0.11329897901010051,0.04988060558616799,203
0.0002,0.0001,0.001,0.0001,1600,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,72.8005620338954,0.91,-0.7911113820161333,1.0183715586649877,1.8431592473845757,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08383422601360756,-0.0835804027351423,7.968468763447936e-07,-0.08386859700489374,5.0,6.646863651361064e-08,0.033569979767050416,0.04988170248588068,37
0.0002,0.0001,0.001,0.001,1000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,50.64670890197158,0.91,-0.7911113820161333,1.0183708536343048,1.843159596814807,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08524240849953899,-0.08512315684394904,2.6027943418222636e-06,-0.08525824888212524,4.999999999999999,6.542304731508964e-08,0.0025939757297997966,0.04990911925492991,123
0.0002,0.0001,0.001,0.0001,1000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.13195596495643,0.91,-0.7911113820161333,1.0183705741592464,1.8431597698467308,0.0,-0.9948462247926808,-1.0000000000000002,1.44342,-0.0848370027900055,-0.0847381088484827,2.265982640329971e-06,-0.0848501956730159,5.000000000000001,7.15710906237132e-08,0.0027775884870764,0.0499064162950374,11
0.0002,0.0001,0.001,0.001,1000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,54.006201329641044,0.91,-0.7911113820161333,1.0183705631242956,1.8431598117587777,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08443418314822308,-0.0843313484820532,2.4125144341820323e-06,-0.08444797458497327,5.0,7.273423706146123e-08,0.0029137468025603897,0.04990223994115078,144
0.0002,0.0001,0.001,0.0001,4000,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,198.86252738302574,0.91,-0.7911113820161333,1.01837040242106,1.8431599515520958,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.0999996415094947,-0.100283740661496,3.184056668163893e-07,-0.09996803561525738,5.97490054968419,8.232488298704548e-08,0.00012737454822778758,0.04989452386677336,148
0.0002,0.0001,0.001,0.0001,4000,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,199.6332399919629,0.91,-0.7911113820161333,1.01837040242106,1.8431599515520958,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.0999996415094947,-0.100283740661496,3.184056668163893e-07,-0.09996803561525738,5.97490054968419,8.232488298704548e-08,0.00012737454822778758,0.04989452386677336,149
0.0002,0.0001,0.001,0.001,1000,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,56.33852838771418,0.91,-0.7911113820161333,1.018370187417619,1.8431600082793715,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08392079917516129,-0.08380696293209439,-5.5380220743570206e-06,-0.08393557414572986,5.000000000000001,1.3383960109224743e-06,0.06206374255323068,0.0499037974310743,134
0.0002,0.0001,0.001,0.0001,1000,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,52.56513717630878,0.91,-0.7911113820161333,1.018370026325302,1.8431602028160483,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,-0.0855781719031283,-0.0854531502704488,2.647751455511403e-06,-0.0855946946971249,5.0,1.035028133135542e-07,0.0024520311388305,0.0499052194832426,10
0.0002,0.0001,0.001,0.01,1000,0.1,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,35.16371908085421,0.91,-0.7911113820161333,1.018370013583138,1.8431601289222943,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08466593954452174,-0.08451608516276349,-6.148926446163618e-07,-0.08468473321031103,5.0,9.287875289914563e-06,0.07296850176036059,0.04990751389759816,277
0.0002,0.0001,0.001,0.001,1000,1.0,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,54.133202424272895,0.91,-0.7911113820161333,1.0183700045904984,1.843165428395536,0.0,-0.9948462247926807,-1.0000000000000002,2.8868400000000003,-0.16980759086559302,-0.17998601137072695,0.0004552064127321193,-0.16916048466126052,10.000000000000002,2.4893325912999727e-05,0.01401581087341822,0.049501126188464445,146
0.0002,0.0001,0.001,0.0001,1000,1.0,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,52.60094516212121,0.91,-0.7911113820161333,1.018369904858607,1.8431601183228252,0.0,-0.9948462247926808,-1.0000000000000002,1.44342,-0.0847231559247052,-0.084616119121033,2.4509540998171843e-06,-0.0847374610943239,5.000000000000001,7.063383971923506e-08,0.0028170362361121,0.0499028571977186,35
0.0002,0.0001,0.001,0.01,1000,0.01,5.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,53.17327973525971,0.91,-0.7911113820161333,1.018369779162429,1.8431602255345023,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.08523813387691008,-0.08512227957361439,2.5347560878549988e-06,-0.08525350856900915,5.0,1.1110176458043882e-07,0.0025877308268530525,0.04990947987502633,270
0.0002,0.0001,0.001,0.0001,1000,1.0,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,37.1492397878319,0.91,-0.7911113820161333,1.0183696817125751,1.843165747062411,0.0,-0.9948462247926808,-1.0000000000000002,2.8868400000000003,-0.1696163026134378,-0.1797874351064466,0.0004537230751988,-0.1689695331631601,9.999999999999998,2.2768965562417865e-05,0.01425450318335,0.0495011106200459,31
0.0002,0.0001,0.001,0.0001,2500,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,117.75411965418607,0.91,-0.7911113820161333,1.0183695593666462,1.8431603614645413,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964173168667,-0.10024850095368,3.181952607242202e-07,-0.09997195093027061,5.971215327711532,8.155158069406598e-08,0.00014720253998510614,0.04990910689371214,74
0.0002,0.0001,0.001,0.0001,2500,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,128.2122739618644,0.91,-0.7911113820161333,1.0183695593666462,1.8431603614645413,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964173168667,-0.10024850095368,3.181952607242202e-07,-0.09997195093027061,5.971215327711532,8.155158069406598e-08,0.00014720253998510614,0.04990910689371214,81
0.0002,0.0001,0.001,0.001,2500,0.01,10.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,113.3924473640509,0.91,-0.7911113820161333,1.018369531219705,1.8431603771166534,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964173157859,-0.1002485210769425,3.181953658412252e-07,-0.0999719486925392,5.971217115933667,8.155013817329185e-08,0.0001471960444116804,0.04990910338391717,227
0.0002,0.0001,0.001,0.001,2500,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,118.62984096026048,0.91,-0.7911113820161333,1.018369531219705,1.8431603771166534,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964173157859,-0.1002485210769425,3.181953658412252e-07,-0.0999719486925392,5.971217115933667,8.155013817329185e-08,0.0001471960444116804,0.04990910338391717,228
0.0002,0.0001,0.001,0.0001,1600,0.01,20.0,projection,adam,100,zero,False,1.0,fogas_full,npg,exact,50,1e-10,normal,42,cpu,ok,,80.8381713279523,0.91,-0.7911113820161333,1.0183690574041295,1.8431606057847696,0.0,-0.9948462247926807,-1.0000000000000002,1.4434200000000001,-0.09999964192744028,-0.10022476268465072,3.1800759554773575e-07,-0.09997458817007465,5.967970682906986,8.059315007668469e-08,0.00016523697972500588,0.04991912783587425,40
