alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,theta_mode,theta_optimizer,theta_start_mode,theta_include_beta_cov,beta_update,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,dataset_path,num_trajectories,max_steps,seed,device,status,error,elapsed_seconds,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.001,1e-05,3.0,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3207.474861570983,0.75,-0.5537533850043557,0.6452819398545578,1.765756152078669,0.94,-0.2102740006619639,2.967923004896019,0.0,-44.95744898506572,-211.40286972128476,45.04248488007732,-44.302986616150655,3598.5197747214693,1.1198291172719097,12.041484287202088,0.0213079640100336,89
0.001,1e-05,1.5,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3301.9674368299893,0.72,-0.5401193760756623,0.7629359825887012,1.6152720315536775,0.94,-0.2102740006619639,2.967923004896019,0.0,-44.55177939326671,-216.9037589402376,45.448154660838256,-43.88468281134933,3633.791773371463,1.0706005372751044,13.361688766269964,0.0214435105519723,102
0.001,0.0001,3.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2708.184965421969,0.72,-0.5494485562821335,0.8312463943384496,1.681899848386645,0.94,-0.2102740006619639,2.967923004896019,0.0,5.396921481325181,-176.9135930538448,19.49806734093389,5.477051738111184,1353.2039227227117,1.6793381121308912,2.796396726227759,0.0333612604973833,58
0.001,3e-05,1.5,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2720.979573887016,0.71,-0.5347678672083522,0.7774195776932382,1.6922274652114129,0.94,-0.2102740006619639,2.95101197789587,0.0136875078766621,-11.72954936605526,-137.3433169030045,33.27040305272687,-11.55787128962231,1820.1632477669843,0.8103129258382346,6.762638468114172,0.0124733492381711,60
0.001,3e-05,1.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2815.873150657979,0.7,-0.552250030974831,0.7145572951478454,1.7393434942490238,0.94,-0.2102740006619639,2.967923004896019,0.0,-11.348858666009852,-137.63844788129495,33.57738551452872,-11.17893190098314,1807.395669536218,0.5401656176228012,6.535070526652884,0.0147270879866068,71
0.001,0.0001,1.5,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2731.516611263971,0.7,-0.5526767026586757,0.7390835526341473,1.828080366178909,0.94,-0.2102740006619639,2.967923004896019,0.0,6.034466714400057,-188.84090885426167,18.698476975870776,6.1154894999655225,1330.2504504724168,1.8328994164869328,3.901953246209816,0.0371141579456158,61
0.001,3e-05,2.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2788.9769811820006,0.7,-0.5586433481782325,0.71071134654737,1.7389139639767748,0.94,-0.2102740006619639,2.967923004896019,0.0,-11.541488224780773,-135.22875712824623,33.38484530795249,-11.373961513834868,1794.4899856650864,0.553457339196489,6.258858971475665,0.016047477304379,67
0.001,1e-05,0.5,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3175.4874129560194,0.7,-0.5607786584139661,0.7222681369439563,1.6188804443125662,0.94,-0.2102740006619639,2.967923004896019,0.0,-44.54114013501808,-214.64865012055893,45.45879368026388,-43.883165868756926,3606.08745787192,0.9095267888331848,13.3326218860655,0.0214212939839287,86
0.001,3e-05,3.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2745.7570443529985,0.69,-0.5521393128264703,0.5746711749459897,1.8732008134170748,0.94,-0.2102740006619639,2.967923004896019,0.0,-12.3917940567991,-135.5655431025239,32.535051627064234,-12.218675889832005,1836.5798223970264,0.6985860982804274,6.137803049830928,0.0123631171402072,65
0.001,3e-05,0.5,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2829.096537173027,0.69,-0.561919055828437,0.7829985763303877,1.6653234998831576,0.94,-0.2102740006619639,2.95101197789587,0.0136875078766621,-11.210828140675687,-138.50237073197673,33.59043409350357,-11.040830707510011,1814.137255175586,0.6487232031042401,6.37065733832443,0.0145468729795081,73
0.001,0.0001,0.75,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2877.6830917139887,0.69,-0.5640209024425045,0.6246088495764494,1.8945499209327568,0.94,-0.2102740006619639,2.967923004896019,0.0,7.185257850559726,-188.1068934165611,18.808979612297957,7.270822834884559,1338.9604773723747,2.1134057470009378,3.4599474439118323,0.0384933661767094,79
0.001,0.0001,2.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2804.311152759008,0.69,-0.5688309273321557,0.7008943730610459,1.871087482376197,0.94,-0.2102740006619639,2.967923004896019,0.0,6.233580099537319,-174.33859410671752,19.45752793766332,6.314763207898243,1316.5536777070274,1.9614167633985795,3.451868261164119,0.0362094618841673,70
0.001,1e-05,0.75,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2894.4821636920096,0.69,-0.5730167504127655,0.559322473065599,1.695548488201879,0.94,-0.2102740006619639,2.95101197789587,0.0136875078766621,-33.70587747509762,-76.7173321466925,11.294100401124204,-33.53939612582517,1811.8837011409769,0.2518194517884304,6.975476588645655,0.0346284213918686,81
0.001,1e-05,1.5,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2901.518285085971,0.68,-0.5656741917915155,0.715502652101832,1.4843709209614966,0.94,-0.2102740006619639,2.967923004896019,0.0,-33.72917159162056,-76.15981640829047,11.270806238881171,-33.56323695450213,1805.2646024956248,0.3025895950616934,6.798118964115546,0.0343308765702076,82
0.001,3e-05,0.75,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2853.636672356981,0.68,-0.567095490020501,0.8014963888293403,1.6596415074921012,0.94,-0.2102740006619639,2.967923004896019,0.0,-11.177935699073196,-138.28676036083593,33.623305620710475,-11.010460283875494,1793.567198940462,0.4378297353875517,6.353043562739671,0.0178030299075296,75
0.001,3e-05,0.75,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3315.037331875996,0.68,-0.5767246361184578,0.7549376670343744,1.7279043754417645,0.94,-0.2102740006619639,2.967923004896019,0.0,7.148416707633324,-342.13230554862935,54.23788997164812,7.632577265667374,3072.265713849745,2.427906082056429,7.64387283300502,0.0330045296908507,104
0.001,1e-05,0.75,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3358.3510901170084,0.68,-0.576770207332139,0.5814461548852216,1.7176504335276197,0.94,-0.2102740006619639,2.95101197789587,0.0136875078766621,-44.74316310814088,-216.6844077759655,45.25676982752808,-44.06907179511762,3653.107376812213,0.9539592022156582,12.533562367527072,0.0202553157451083,110
0.001,3e-05,0.5,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3462.436812209024,0.68,-0.5851070086709907,0.6734125138664846,1.830518321751152,0.94,-0.2102740006619639,2.967923004896019,0.0,9.974023340494902,-351.3336878865106,61.06632223384736,10.45722959383325,3068.0756949359047,2.1567120057496765,8.316571556421769,0.0334348642370413,113
0.001,0.0001,0.5,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,2797.7809543120093,0.67,-0.5591817142390643,0.8717438205483519,1.5947679678112068,0.94,-0.2102740006619639,2.967923004896019,0.0,6.515862705336756,-181.0629821754024,18.3275320196562,6.597655919831764,1289.8180132815942,2.374060652362695,3.482624509234894,0.0368496714394552,68
0.001,3e-05,5.0,1500,0.03,10,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,35.60492916801013,0.67,-0.5875541303589537,0.7490291345746269,1.7001289832797561,0.94,-0.21027400066196392,2.967923004896019,0.0,-13.15395958509297,-132.7321519265643,31.846001302476957,-12.986740388208691,1799.7076650226427,0.8210827247653308,6.642080202529909,0.012268487810792315,116
0.001,3e-05,1.0,1500,0.03,20,1e-07,reg_fixed,adam,warm,False,fogas_full,adam,exact,4,0.001,50,1e-10,normal,/shared/home/mauro.diaz/work/FOGAS/data/datasets_clean/generalization/5grid_stochastic.csv,100,20,42,cpu,ok,,3343.079512886994,0.66,-0.5571958806221908,0.5386881316913957,1.9422553540028176,0.94,-0.2102740006619639,2.967923004896019,0.0,9.598581949009706,-354.012536456522,59.69385944414459,10.09406300834565,3114.305543300937,2.754298663504449,8.440642037457373,0.042738049509557,107
