problem,ablation,beta_update,T,alpha,eta,rho,theta_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,theta_optimizer,theta_start_mode,theta_include_beta_cov,policy_optimizer,policy_gradient,reinforce_samples,fisher_damping,cg_iters,cg_tol,state_weight_update,intended_prob,dataset_path,seed,checkpoint_idx,checkpoint_step,num_trajectories,max_steps,eval_seed,solver_success_rate,solver_avg_return,solver_v_x0,solver_v_gap,greedy_success_rate,greedy_avg_return,greedy_v_x0,greedy_v_gap,total_loss,policy_objective,beta_objective,q_objective,theta_norm,policy_grad_norm,beta_grad_norm,theta_grad_norm,status,error,run_idx
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,11,5500,100,50,10000,0.59,-1.142244280730578,-1.0904730402392802,0.1498685136334064,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8678002310643276,-1.660079602066392,0.09153500699447531,-0.8577136428305114,99.99999999999999,0.004026282205759126,0.14457448967846645,0.04282877783209111,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,12,6000,100,50,10000,0.6,-1.1327512792985768,-1.0836358359278107,0.14383483246865308,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8389039216065262,-1.70197150977412,0.09440997758240574,-0.8280027644184278,100.0,0.002819171288549572,0.13603965207870694,0.04269101041581723,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,13,6500,100,50,10000,0.59,-1.1407113375049818,-1.0802812062201115,0.1414787285786542,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8894351875715437,-1.7124920966702037,0.1143155577008724,-0.8777522562270113,100.0,0.008892951033604376,0.23884998708368976,0.04256701009882681,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,14,7000,100,50,10000,0.64,-1.1166658126871558,-1.0647503454749665,0.13739030019242018,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.9816899098388261,-1.8144440885922632,0.14318786191448732,-0.969257992516225,100.0,0.015680001630296418,0.25158963718284216,0.041428731157205585,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,15,7500,100,50,10000,0.64,-1.1064842481719108,-1.0605723466684513,0.136547853812061,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8761266855433886,-1.900865605242874,0.1262482189242301,-0.8629646314432455,100.00000000000001,0.006148480961896987,0.1725309330275875,0.04095339357833401,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,16,8000,100,50,10000,0.65,-1.1027035299430157,-1.0543606828582015,0.1320351869578211,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.8034613056439986,-1.8935984534011592,0.11955008703350589,-0.7895433224738477,100.00000000000001,0.003679346863336506,0.14248698083811512,0.04082973912774471,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,17,8500,100,50,10000,0.64,-1.1013440466596618,-1.0490340388502764,0.13164775826411554,1.0,-0.82274123760695,-0.8227412376069501,0.0,-0.7875661960652411,-1.9405599887180953,0.12336781301074078,-0.772934198980288,100.0,0.0035932554590654524,0.12591566053155281,0.040743855272070875,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,18,9000,100,50,10000,0.64,-1.072032236490715,-1.0229700944808404,0.1286662557349795,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.1492868492519752,-2.3134664054493914,0.21866692619890699,-1.1338345009812223,99.99999999999999,0.024902341061855866,0.31059089671143336,0.040570260517945385,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,19,9500,100,50,10000,0.67,-1.1191142612119913,-1.0388449912283262,0.13041921177312457,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.3469568408902894,-2.724274222249772,0.32291607543169687,-1.330712993625502,99.99999999999999,0.029868478239888956,0.44372948784301525,0.037607875514048685,ok,,521
deterministic_10grid,projection_dtheta,fogas_full,10000,0.001,3e-05,1.0,projection,,100.0,0.01,10,adam,warm,False,adam,exact,4,0.001,50,1e-10,normal,1.0,/shared/home/mauro.diaz/work/FOGAS/data/datasets/generalization/10grid_tabular_new.csv,42,20,10000,100,50,10000,0.62,-1.1560236109291333,-1.0644528930654396,0.12997703721555626,1.0,-0.82274123760695,-0.8227412376069501,0.0,-1.0133009889529405,-2.5787769999930417,0.21568652184282758,-0.9960426296610698,100.00000000000001,0.009609367773044235,0.21625617165978464,0.036544316966475,ok,,521
