ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_inner_steps,checkpoint_step,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_return_best,solver_avg_return_mean,solver_avg_return_std,solver_avg_return_sem,solver_avg_return_ci95,greedy_avg_return_best,greedy_avg_return_mean,greedy_avg_return_std,greedy_avg_return_sem,greedy_avg_return_ci95
projection_dtheta,projection,warm,,0.3,10,500,5,5,5,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2517331870260093,-1.2517331870260093,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,1000,5,5,5,0,,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3001226757749627,-1.3001226757749627,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,1500,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.327086953383668,-1.327086953383668,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,2000,5,5,5,0,,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3341017642987347,-1.3341017642987347,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,2500,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3344064790203862,-1.3344064790203862,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,3000,5,5,5,0,,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3460402421812174,-1.3460402421812174,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,3500,5,5,5,0,,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3541155698166052,-1.3541155698166052,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,4000,5,5,5,0,,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3657830953784356,-1.3657830953784356,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,4500,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3711644049707337,-1.3711644049707337,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,5000,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3800150246129612,-1.3800150246129612,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,5500,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.38740063384532,-1.38740063384532,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,6000,5,5,5,0,,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3893068951085004,-1.3893068951085004,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,6500,5,5,5,0,,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4011711667542612,-1.4011711667542612,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
projection_dtheta,projection,warm,,0.3,10,7000,5,5,5,0,,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4185389837783355,-1.4185389837783355,0.0,0.0,0.0,-0.9948462247926807,-0.9948462247926807,0.0,0.0,0.0
