state,action,reward,next_state,policy_id
23,3,-0.1,24,0
24,3,-0.1,25,0
25,0,-0.1,15,0
15,3,-0.1,16,0
16,0,-0.1,6,0
6,3,-0.1,7,0
7,3,-0.1,8,0
8,3,-0.1,9,0
9,1,-0.1,19,0
19,1,-0.1,29,0
29,1,-0.1,39,0
39,2,-0.1,38,0
38,1,-0.1,48,0
48,1,-0.1,58,0
58,1,-0.1,68,0
68,1,-0.1,78,0
78,1,-0.1,88,0
88,1,-0.1,98,0
98,0,-0.1,88,0
88,1,-0.1,98,0
98,2,-0.1,97,0
97,0,-0.1,97,0
97,3,-0.1,98,0
98,3,-0.1,99,0
0,2,-0.1,0,1
0,3,-0.1,1,1
1,1,-0.1,1,1
1,1,-0.1,1,1
1,2,-0.1,0,1
0,3,-0.1,1,1
1,3,-0.1,2,1
2,0,-0.1,2,1
2,2,-0.1,1,1
1,0,-0.1,1,1
1,1,-0.1,1,1
1,3,-0.1,2,1
2,1,-0.1,12,1
12,3,-0.1,13,1
13,1,-0.1,23,1
23,0,-0.1,13,1
13,1,-0.1,23,1
23,2,-0.1,23,1
23,3,-0.1,24,1
24,2,-0.1,23,1
23,3,-0.1,24,1
24,3,-0.1,25,1
25,3,-0.1,26,1
26,2,-0.1,25,1
25,1,-0.1,35,1
35,1,-0.1,35,1
35,0,-0.1,25,1
25,1,-0.1,35,1
35,3,-0.1,36,1
36,1,-0.1,36,1
36,0,-0.1,26,1
26,2,-0.1,25,1
25,3,-0.1,26,1
26,3,-0.1,26,1
26,1,-0.1,36,1
36,1,-0.1,36,1
36,2,-0.1,35,1
35,0,-0.1,25,1
25,1,-0.1,35,1
35,0,-0.1,25,1
25,3,-0.1,26,1
26,2,-0.1,25,1
25,3,-0.1,26,1
26,3,-0.1,26,1
26,3,-0.1,26,1
26,0,-0.1,16,1
16,3,-0.1,16,1
16,0,-0.1,6,1
6,1,-0.1,16,1
16,2,-0.1,15,1
0,3,-0.1,1,0
1,1,-0.1,1,0
1,3,-0.1,2,0
2,1,-0.1,12,0
12,3,-0.1,13,0
13,1,-0.1,23,0
23,3,-0.1,24,0
24,3,-0.1,25,0
25,0,-0.1,15,0
15,3,-0.1,16,0
16,0,-0.1,6,0
6,3,-0.1,7,0
7,3,-0.1,8,0
8,3,-0.1,9,0
9,1,-0.1,19,0
19,1,-0.1,29,0
29,1,-0.1,39,0
39,0,-0.1,29,0
29,1,-0.1,39,0
39,2,-0.1,38,0
38,1,-0.1,48,0
48,0,-0.1,38,0
38,1,-0.1,48,0
48,1,-0.1,58,0
58,1,-0.1,68,0
68,3,-0.1,69,0
69,1,-0.1,79,0
79,1,-0.1,89,0
89,1,-0.1,99,0
0,3,-0.1,1,0
1,3,-0.1,2,0
