alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_std_steps,greedy_success_rate,greedy_avg_env_return,greedy_std_env_return,solver_mean_steps,solver_std_steps,solver_success_rate,solver_avg_env_return,solver_std_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
0.0001,3e-07,0.1,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,894.7914035050198,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.11615623600443,-98.71505029080974,-0.9644181721938389,-103.12322365647881,345.09959217515666,0.16228896448220534,16.293311793138475,0.4160448218975572,35
0.0001,1e-06,0.5,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,894.8379164190264,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,21.202328163034327,121.64873537344057,-9.90915380114329,20.87828889775642,322.3265663066198,0.07192605240908503,55.563294233943466,0.27671354335075865,91
0.0001,1e-06,0.5,20000,0.001,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,894.9572835580329,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-1.4582307923325004,1138.2220540938788,-115.10601109493739,-2.4620991188412518,473.7584085093179,0.007737582912687903,245.7400996678273,0.9479195830350213,98
0.0001,3e-07,0.5,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,894.9929854199872,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.5994369783402,-335.204331831288,-2.4445497419092828,-342.598783339232,900.4579604750159,0.12995912646686092,28.93900261766561,0.4168083097506485,50
0.0001,3e-07,0.5,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,895.0591159879696,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-102.84590234155435,-101.89773013758493,-1.037147126898568,-102.8538323809352,332.98824478558055,0.8871774234569002,36.67842125334809,0.416728166444663,42
0.0001,1e-06,0.1,20000,0.001,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,895.2267959789606,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-340.9192435478132,-338.64467632549446,-0.7643428893686327,-340.9204529710339,887.6575553655184,0.0525346867838323,17.85685086774463,0.4124889153154616,90
0.0001,3e-07,0.005,20000,0.0003,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,895.3244051410002,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,35.79112836522338,395.7803196482222,-36.42047605339523,35.29078616493865,220.69352199228388,4.439252510748671,138.36375656434583,0.2018949778737799,2
0.0002,3e-07,0.02,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,895.4205157129909,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.293203691193,-100.01811420982588,-1.1387128207288761,-103.29256637042569,331.7436888382055,0.2344824768781655,25.122299459878025,0.4169844582202274,114
0.0002,3e-07,0.02,20000,0.0003,10,1e-06,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,895.4349598460249,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.20860916212474,-98.69362544329685,-1.0600680191016953,-103.21640072530214,307.69419004714604,0.12501546292876337,16.152690815503234,0.4164003762486439,115
0.0002,3e-07,0.05,20000,0.0003,10,1e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,895.6053549509961,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-101.65174248457177,-98.3530963994867,-0.36350029041378096,-101.65123783565313,298.67790370297547,0.5086028028691886,37.52896701907563,0.4145528348292808,122
0.0002,3e-07,0.005,20000,0.001,10,1e-09,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,895.9151949500083,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-342.27327665591207,-330.0631922371727,-2.3004509727780627,-342.27815079584207,942.2851506513016,0.06202207993655095,20.29566625175595,0.4387272929010885,106
0.0002,3e-07,0.05,20000,0.0003,10,3e-08,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,896.2312368529965,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-102.70541944692,-96.90104126842091,-0.5491976166471383,-102.76020989029172,332.5294088577876,0.2076465307499642,26.80693627737653,0.4183483238723121,123
0.0001,3e-07,0.005,20000,0.0003,10,1e-07,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:3,ok,,896.3140058260178,200.0,0.0,0.0,-200.0,0.0,200.0,0.0,0.0,-200.0,0.0,-103.43935370718468,-100.78892573855315,-1.28476985695,-103.44085129858425,340.7004340323969,0.3676318194820455,21.57335514421827,0.41872334259934707,3
