alpha,eta,rho,T,theta_lr,theta_inner_steps,theta_lambda,batch_size,hidden_sizes,beta_reg,theta_mode,theta_optimizer,theta_start_mode,beta_update,policy_optimizer,policy_gradient,nn_seed,seed,device,status,error,elapsed_seconds,greedy_mean_steps,greedy_success_rate,greedy_avg_env_return,solver_mean_steps,solver_success_rate,solver_avg_env_return,final_total_loss,final_policy_objective,final_beta_objective,final_q_objective,final_theta_norm,final_policy_grad_norm,final_beta_grad_norm,final_theta_grad_norm,run_idx
3e-05,3e-08,0.005,20000,0.0001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,934.9941323609964,200.0,0.0,-200.0,200.0,0.0,-200.0,-36.75815274674145,-16.027998385789672,-2.6018901536894616,-36.699177622372275,204.029394957445,2.5714682794487896e-05,37.10544972626019,0.44301011806158513,97
3e-05,1e-08,0.1,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.1017621229985,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86445931671767,-47.277437445673876,-7.708134995595763,-109.80476513905334,412.750030875099,7.539392572725738e-05,111.1353223975648,0.4431831166438831,58
3e-05,3e-08,0.5,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,935.1298772789887,200.0,0.0,-200.0,200.0,0.0,-200.0,-345.52906543469715,-335.4044136322109,-5.378159429919286,-345.5286375300675,930.6568470792073,10.444378583782708,162.3925711915085,0.4680492294889765,185
3e-05,1e-08,0.5,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,935.1495020530128,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86318346884786,-47.28233655082979,-7.706859147632361,-109.80349461270106,414.47587320698557,7.540814836938513e-05,111.13155469242507,0.44317798837758837,81
3e-05,1e-08,0.005,20000,0.001,10,1e-10,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:2,ok,,935.251089530997,200.0,0.0,-200.0,200.0,0.0,-200.0,-355.49899729191515,-312.79034562776224,-15.346918375179726,-355.4982882383928,942.2458925023758,3.2477866926539707,313.3765541802534,0.5411904046831235,17
3e-05,3e-08,0.1,20000,0.001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.2929146569804,200.0,0.0,-200.0,200.0,0.0,-200.0,-330.4932854190231,-433.44001087465017,9.661947806853705,-330.524570800241,913.6410768546579,0.9235156811276342,558.0115733220981,0.5156806157329747,162
3e-05,3e-08,0.1,20000,0.0003,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,935.43220530299,200.0,0.0,-200.0,200.0,0.0,-200.0,-99.56030496864442,-76.2437765072677,2.596019643366503,-99.54038487269526,395.29733500924715,2.238214467212894,707.2049352690924,0.4022724440648456,153
3e-05,1e-08,0.005,20000,0.0001,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.4985802859883,200.0,0.0,-200.0,200.0,0.0,-200.0,-37.0466033489908,-13.590733934900442,-2.890340733148855,-36.979686180196566,198.5496442287158,2.9944558668350476e-05,38.98442829262778,0.4463962574992369,1
3e-05,1e-07,0.005,20000,0.001,10,1e-12,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:0,ok,,935.606601751002,200.0,0.0,-200.0,200.0,0.0,-200.0,-344.25524257001337,-335.9544745270125,-4.101050161322552,-344.25574808183075,997.2640990248082,0.6953793101991262,66.39611913925093,0.550977574036686,209
3e-05,1e-08,0.5,20000,0.0003,10,1e-11,,16x16,,reg_fixed,adam,warm,fogas_diag,adam,exact,44,44,cuda:1,ok,,935.7683527779882,200.0,0.0,-200.0,200.0,0.0,-200.0,-109.86320486993152,-47.28173123030989,-7.70688054936578,-109.80351535400592,413.87441551302464,7.52194042086488e-05,111.15264097989056,0.44317807209541915,82
