run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds
1,FOGAS,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622461,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.005725374249745512,0.00420727361889936,-0.8239465971912225,1.0,-0.8277736292194535,0.005591258005717036,21.402504344005138
2,FOGAS,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4668400064112963,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.0054374420554610435,0.003994795031451775,-0.8237693384288295,1.0,-0.8275920727550548,0.005337896480812048,21.009409040911123
3,FOGAS,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.467800385687406,1.9622884434960658e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.005442393057317384,0.0039975887043875915,-0.8237693384288295,1.0,-0.8275956298493972,0.005341805521896233,22.559636667137966
4,FOGAS,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.005446737994118747,0.004001143617278921,-0.8239465971912225,1.0,-0.8275978699077714,0.0053458519346272805,25.871435662033036
5,FOGAS,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151103,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.005747820304594266,0.004223029098400961,-0.8239465971912225,1.0,-0.8277885219477283,0.0056109232100961925,29.309393049916252
6,FOGAS,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,0.012595086045657422,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.005205978101604639,0.002513789260654966,-0.8298913298006202,1.0,-0.830161834247178,0.003857901126998791,20.396590133896098
7,FOGAS,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,0.013340306617872513,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.041267877475717994,0.0068886821761964135,-0.8291083723521083,1.0,-0.8397358702759904,0.009979345764305834,20.856722365133464
8,FOGAS,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,1.973827698491777e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.04483694387697364,0.006718444513856674,-0.8289311135897154,1.0,-0.8393793503754272,0.00976579688823579,22.481399396900088
9,FOGAS,16000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.557038168247064,1.97554464937627e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.046391705160379666,0.00616414093929121,-0.8292679052382623,1.0,-0.8382540675791207,0.009023598730197195,25.83242313703522
10,FOGAS,20000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.556876014934485,1.9724042404289786e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,-7.548460706246637e-19,0.0455769113850552,0.0065632343324977405,-0.8292679052382623,1.0,-0.8390789386009906,0.009553161621654377,29.34807574003935
