run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,greedy_on_data_quality,greedy_optimal_states_quality,greedy_avg_reward,greedy_success_rate,greedy_v_x0,greedy_v_gap,solver_on_data_quality,solver_optimal_states_quality,solver_avg_reward,solver_success_rate,solver_v_x0,solver_v_gap,elapsed_seconds,critic_update,alpha,actor_lr,ridge,T,batch_size,critic_lr,critic_inner_steps,device,torch_threads,final_objective,final_actor_loss,final_critic_loss,final_critic_objective,final_theta_norm,final_psi_norm,final_policy_grad_norm,final_actor_delta_mean,final_actor_delta_std,final_critic_delta_mean,final_critic_delta_std,done_fraction
1,Primal AlgaeDICE,4000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4653047701622464,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0018249299233947817,0.0013411948407063261,-0.822918496369343,1.0,-0.8245825931152647,0.0017111769875527178,21.538123259029817,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:0,1,-33.722764499525994,33.722764499525994,-16.900099936547818,-33.710403178903924,100429.98529031887,41.59622596842162,31.976670449316114,0.027298554598441858,0.022317739557748812,0.028257035889649427,0.02420656558832023,0.148
2,Primal AlgaeDICE,8000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.466840006411296,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0018250323197096928,0.0013411948405440254,-0.822918496369343,1.0,-0.8245825931098674,0.0017111769842596304,21.12209057196742,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:1,1,-33.72278758882171,33.72278758882171,-16.900123363161697,-33.710426741065994,100429.9856952224,41.59622599946618,31.976670508201536,0.02729855459968161,0.022348391223192376,0.0282545475622534,0.024237144155641804,0.148
3,Primal AlgaeDICE,12000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4678003856874062,1.9616340201183546e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0018252614447214297,0.0013411948370898688,-0.822918496369343,1.0,-0.8245825931023184,0.0017111769766484453,21.746249680989422,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:2,1,-33.722801814366484,33.722801814366484,-16.90013773792132,-33.71044112544334,100429.98572395205,41.596226038338756,31.97667027924782,0.027298554600231558,0.02236745335133353,0.028253632835491222,0.024255591133864527,0.148
4,Primal AlgaeDICE,16000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4684255651635614,1.962615573354719e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0018254328838370184,0.0013411948421708873,-0.822918496369343,1.0,-0.8245825930975126,0.001711176976228323,21.939338676049374,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:3,1,-33.72281124119254,33.72281124119254,-16.90014714493897,-33.71045063169997,100429.98602039431,41.59622608159909,31.976670412504355,0.027298554600563074,0.022379827306884936,0.02825316618521161,0.02426744739817739,0.148
5,Primal AlgaeDICE,20000,0.0,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.4688506789151101,1.9625665073520523e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.0018254165257689046,0.0013411948096504799,-0.822918496369343,1.0,-0.8245825930831631,0.0017111769447801244,23.889775504008867,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:4,1,-33.72281734944117,33.72281734944117,-16.90015338060267,-33.71045678775967,100429.9857826048,41.59622614204968,31.976670003087378,0.027298554599532628,0.022388227218593463,0.02825287601586415,0.024275472952948834,0.14800000000000002
6,Primal AlgaeDICE,4000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5557673313208145,1.2781777497276312,0.9738201097379579,-0.9948462247926807,0.0,-1.0000000000000002,0.4794550984502401,1.2509146092447747,0.9480771906682557,-0.9948462247926807,0.0,-1.0003697853506879,0.5357830936922587,25.005945139972027,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:5,1,-3.543380627189106,3.543380627189106,-2.5462391040703647,-3.5422787408438365,24446.34496328813,20.418898516206664,2.9743577387000655,0.02994285743997446,0.29358638034455076,0.030467372385353075,0.2936383863349372,0.138
7,Primal AlgaeDICE,8000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5504081303501414,0.848839812577189,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000002,0.4254210297433204,1.1153496212377034,0.8533205885451214,-0.9965372320899576,0.0,-1.0034256986919845,0.5142767350648546,25.423197315016296,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:6,1,-2.6953696974723766,2.6953696974723766,-1.672494084425155,-2.6941461705511633,24758.66013490239,21.120163431795934,3.1374418671075865,0.02992122247026827,0.1795065518392169,0.030223266831671407,0.17964795504334857,0.139
8,Primal AlgaeDICE,12000,0.1,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.5488595087238135,0.8579887243122584,0.6468180626188853,-0.9948462247926807,0.0,-1.0000000000000002,0.4254210297433204,1.1407332929129739,0.8682992965944313,-0.9976870606731494,0.0,-1.0045058957975508,0.5203450962486899,25.547907911997754,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:7,1,-2.724461116872403,2.724461116872403,-1.7005261537794485,-2.723185329897587,24770.860010723954,21.433189791124086,3.160581056542578,0.029914060969893616,0.1839595908878298,0.030241016823184887,0.18410169722903433,0.13899999999999998
12,Primal AlgaeDICE,8000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.80600932883563,1.960160768674992e-17,1.442222014787673e-17,-0.82274123760695,1.0,-0.8227412376069501,2.748506962499439e-18,0.06283509534539272,0.041250300380282316,-0.9524669580863843,0.94,-0.94439075230184,0.060580565505783196,18.69815098401159,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:3,1,-0.5100086623467386,0.5100086623467386,-0.36282493870333155,-0.509861508510715,9392.653612501103,47.95338198391193,0.6668773138681039,0.02909825619553204,0.08029394972126469,0.02912601695379364,0.08033514380207277,0.120125
11,Primal AlgaeDICE,4000,0.3,100% optimal-eps / 0% random,100_0,custom_x0,3,42,ok,,1.8072701370943494,0.26311130332183746,0.18383374369334415,-0.9948462247926807,0.0,-1.0000000000000002,0.2160784313571281,0.23068558022540386,0.1466765928631196,-0.9945239237525453,0.05,-1.0021660850058354,0.1922348400459077,20.266604598029517,closed_form,0.03,0.03,1e-10,3000,,0.001,50,cuda:2,1,-0.5905065342862357,0.5905065342862357,-0.4384384205154085,-0.5903396647215008,9546.766286217307,29.485580899077796,0.6508524448003892,0.029940688766017323,0.10147916735959181,0.030115421338738808,0.10147416936830796,0.11925000000000001
