problem,ablation,theta_mode,theta_start_mode,theta_lambda,D_theta,theta_lr,theta_inner_steps,rho,T,count,seed_count,ok_count,failed_count,elapsed_seconds_mean,solver_success_rate_best,solver_success_rate_mean,solver_success_rate_std,solver_success_rate_sem,solver_success_rate_ci95,greedy_success_rate_best,greedy_success_rate_mean,greedy_success_rate_std,greedy_success_rate_sem,greedy_success_rate_ci95,solver_avg_reward_best,solver_avg_reward_mean,solver_avg_reward_std,solver_avg_reward_sem,solver_avg_reward_ci95,greedy_avg_reward_best,greedy_avg_reward_mean,greedy_avg_reward_std,greedy_avg_reward_sem,greedy_avg_reward_ci95
deterministic,reg_fixed_inner_steps,reg_fixed,warm,1e-07,,0.001,5,0.03,3000,5,5,5,0,184.92725183797302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,40,0.03,3000,5,5,5,0,207.93394676018505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_inner_steps,reg_fixed,zero,1e-07,,0.001,80,0.03,3000,5,5,5,0,246.44250357501443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-09,,0.001,10,0.03,3000,5,5,5,0,146.6994702926022,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9243000000000002,0.9243000000000002,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-09,,0.001,10,0.03,3000,5,5,5,0,162.0248702564044,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9229000000000002,0.9229,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-08,,0.001,10,0.03,3000,5,5,5,0,153.73405633777148,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9242000000000001,0.9242000000000001,7.850462293418876e-17,3.510833468576701e-17,6.881233598410334e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-08,,0.001,10,0.03,3000,5,5,5,0,177.22701337562177,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9235000000000001,0.9235000000000001,7.850462293418876e-17,3.510833468576701e-17,6.881233598410334e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-07,,0.001,10,0.03,3000,5,5,5,0,137.90609344816767,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9247000000000001,0.9247,9.614813431917819e-17,4.299875284949258e-17,8.427755558500545e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-07,,0.001,10,0.03,3000,5,5,5,0,161.80622234097683,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9258000000000002,0.9258000000000003,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,1e-05,,0.001,10,0.03,3000,5,5,5,0,181.01096010002075,0.82,0.82,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7187999999999998,0.7187999999999998,0.0,0.0,0.0,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,0.0001,,0.001,10,0.03,3000,5,5,5,0,161.57431774903088,0.58,0.58,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43449999999999983,0.4344999999999998,4.8074067159589095e-17,2.149937642474629e-17,4.2138777792502725e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,warm,3e-05,,0.001,10,0.03,3000,5,5,5,0,176.5120543501922,0.25,0.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.07799999999999997,0.07799999999999993,4.1051049941978724e-17,1.8358587643600646e-17,3.5982831781457265e-17,0.9300000000000002,0.93,1.2412670766236366e-16,5.551115123125783e-17,1.0880185641326534e-16
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-09,,0.001,10,0.03,3000,5,5,5,0,197.6104794891784,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-09,,0.001,10,0.03,3000,5,5,5,0,204.7157713730121,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-08,,0.001,10,0.03,3000,5,5,5,0,199.43938540020025,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-08,,0.001,10,0.03,3000,5,5,5,0,201.52236282580998,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-07,,0.001,10,0.03,3000,5,5,5,0,190.02490764162502,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-07,,0.001,10,0.03,3000,5,5,5,0,193.6958169236197,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-06,,0.001,10,0.03,3000,5,5,5,0,200.5187855847762,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-06,,0.001,10,0.03,3000,5,5,5,0,197.714673629601,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0852,-0.0852,1.3877787807814457e-17,6.206335383118182e-18,1.2164417350911636e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,1e-05,,0.001,10,0.03,3000,5,5,5,0,200.9686628227937,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
deterministic,reg_fixed_lambda,reg_fixed,zero,3e-05,,0.001,10,0.03,3000,5,5,5,0,197.4244088186184,0.11,0.11000000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,0.0,0.0,0.0,0.0,0.0,-0.0856,-0.08560000000000001,1.5515838457795457e-17,6.938893903907228e-18,1.3600232051658167e-17,-0.2,-0.2,0.0,0.0,0.0
